"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Survey: Applicant Accommodation Survey 2022","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 placed applicants (excluding care-experienced applicants and limiting to UK-domiciled applicants aged 24 and under)    Domicile: UK","",""
"Coverage: All survey respondents who fit audience parameters","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"How important were/are the following factors when choosing accommodation for your first year? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
" It is university operated","Important","52%"
" It is university operated","Neutral","26%"
" It is university operated","Not important","22%"
" It is privately operated","Important","11%"
" It is privately operated","Neutral","23%"
" It is privately operated","Not important","67%"
" It is provided by an operator I am familiar with (e.g. Unite, Liberty Living)","Important","17%"
" It is provided by an operator I am familiar with (e.g. Unite, Liberty Living)","Neutral","25%"
" It is provided by an operator I am familiar with (e.g. Unite, Liberty Living)","Not important","58%"
" Overall cost","Important","85%"
" Overall cost","Neutral","13%"
" Overall cost","Not important","2%"
" Value for money","Important","88%"
" Value for money","Neutral","10%"
" Value for money","Not important","2%"
" Cleanliness of the bedroom","Important","82%"
" Cleanliness of the bedroom","Neutral","15%"
" Cleanliness of the bedroom","Not important","3%"
" The size of the bedroom","Important","48%"
" The size of the bedroom","Neutral","40%"
" The size of the bedroom","Not important","12%"
" The amount of light in the bedroom","Important","40%"
" The amount of light in the bedroom","Neutral","39%"
" The amount of light in the bedroom","Not important","21%"
" The quality of the furnishings (e.g. bed, desk, kitchen facilities, if applicable)","Important","61%"
" The quality of the furnishings (e.g. bed, desk, kitchen facilities, if applicable)","Neutral","30%"
" The quality of the furnishings (e.g. bed, desk, kitchen facilities, if applicable)","Not important","9%"
" Overall size of the property","Important","36%"
" Overall size of the property","Neutral","41%"
" Overall size of the property","Not important","23%"
" Quality of accommodation (e.g.  condition of the overall property, hallways, common areas)","Important","75%"
" Quality of accommodation (e.g.  condition of the overall property, hallways, common areas)","Neutral","21%"
" Quality of accommodation (e.g.  condition of the overall property, hallways, common areas)","Not important","4%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Important","83%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Neutral","15%"
" Location of the property (e.g. on campus, off campus, close to public transport)","Not important","2%"
" Facilities (e.g. WiFi, parking, gym)","Important","75%"
" Facilities (e.g. WiFi, parking, gym)","Neutral","21%"
" Facilities (e.g. WiFi, parking, gym)","Not important","4%"
" That there is on-site staff","Important","39%"
" That there is on-site staff","Neutral","34%"
" That there is on-site staff","Not important","27%"
" Bills included","Important","83%"
" Bills included","Neutral","13%"
" Bills included","Not important","4%"
" Social scene (e.g. events on-site)","Important","39%"
" Social scene (e.g. events on-site)","Neutral","33%"
" Social scene (e.g. events on-site)","Not important","27%"
" Studious atmosphere","Important","37%"
" Studious atmosphere","Neutral","38%"
" Studious atmosphere","Not important","25%"
" Access to outdoor space (e.g. garden, common areas)","Important","41%"
" Access to outdoor space (e.g. garden, common areas)","Neutral","34%"
" Access to outdoor space (e.g. garden, common areas)","Not important","25%"
" The company's commitment to reducing their impact on the environment","Important","29%"
" The company's commitment to reducing their impact on the environment","Neutral","36%"
" The company's commitment to reducing their impact on the environment","Not important","34%"
" The company's commitment to supporting students' wellbeing","Important","57%"
" The company's commitment to supporting students' wellbeing","Neutral","29%"
" The company's commitment to supporting students' wellbeing","Not important","14%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Important","49%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Neutral","33%"
" Number of bedrooms (i.e. living with preferred number of other people or alone)","Not important","18%"
" Friends living in the same type of room","Important","19%"
" Friends living in the same type of room","Neutral","24%"
" Friends living in the same type of room","Not important","57%"
" Friends living in the same property","Important","22%"
" Friends living in the same property","Neutral","23%"
" Friends living in the same property","Not important","55%"
" Option to live in the same property for more than one academic year","Important","25%"
" Option to live in the same property for more than one academic year","Neutral","24%"
" Option to live in the same property for more than one academic year","Not important","51%"
" Reviews of the accommodation","Important","58%"
" Reviews of the accommodation","Neutral","29%"
" Reviews of the accommodation","Not important","13%"
" Availability of fully catered option","Important","15%"
" Availability of fully catered option","Neutral","14%"
" Availability of fully catered option","Not important","71%"
" Availability of self-catered option","Important","54%"
" Availability of self-catered option","Neutral","22%"
" Availability of self-catered option","Not important","24%"
" Living with other first year students","Important","61%"
" Living with other first year students","Neutral","22%"
" Living with other first year students","Not important","17%"
