"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"We would like to understand more about your experience in care ~ please select all of the following statements that apply to you. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"I was in care during primary school/under the age of 11","53%"
"I was in care during secondary school/ages of 11 and 16","54%"
"I am currently in care or was in care between the ages 17/18","45%"
