"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Thinking about your time at school or college, did you talk about your care background with other people at school or college? Please tick all that apply. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Yes – I was always open about my care background","23%"
"Yes – with staff members I felt comfortable with and trusted","22%"
"Yes – but only the staff who knew about my circumstances","26%"
"Yes – with close friends","31%"
"No, I didn’t talk about it with anyone unless I really had to","31%"
