"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Have you spoken to your pathway plan Personal Adviser (at the local authority) about your plans to go to university or college?",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Yes","50%"
"Not yet but I plan to","4%"
"No","16%"
"Not sure","1%"
"I haven’t spoken to a pathway plan Personal Adviser about plans","4%"
"I don’t know what a pathway plan Personal Adviser is","26%"
