"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"In general, how easy or difficult was it to find the information you needed about the support offered to care-experienced students by the universities or colleges you researched?",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Extremely easy","13%"
"Easy","33%"
"Neither easy nor difficult","36%"
"Difficult","17%"
"Extremely difficult","1%"
