"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Are you planning to start higher education immediately after leaving school?Note: A deferred entry means applying for a course and then taking a year out before starting it. This is different to taking a year (or more) out after secondary education and then applying.",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Yes, I plan to begin studying straight after school in 2022","77%"
"No, I have deferred entry or plan to defer entry to 2023","6%"
"No, I am applying up to 1 year after leaving school or college","6%"
"No, I am applying more than 1 year after leaving school","11%"
