"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Which of the following best describes how you arranged/plan to arrange accommodation for your first year?",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"The uni has arranged/will arrange accommodation for me","7%"
"I won a care experienced scholarship with accommodation","4%"
"I arranged/will arrange accommodation myself in uni halls","41%"
"I arranged/will arrange private accommodation myself","13%"
"I arranged/will arrange it through an operator such as Unite","2%"
"I have my own accommodation and won't be moving for uni","21%"
"I don’t have any plans for accommodation yet","10%"
"Other (please specify):","3%"
