"------------------------------------------------------------------","","",""
"Next steps: what is the experience of students from a care background in education?","","",""
"Supporting data table","","",""
"------------------------------------------------------------------","","",""
"Group variables: Response, Class (Did the applicant discuss plans for HE with Pathway Plan personal adviser?), Level (Yes/No)","","",""
"Statistics: Proportion of respondents","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","",""
"Survey responses are weighted to represent the entire sample population.","","",""
"Percentages are rounded to the nearest whole number.","","",""
"------------------------------------------------------------------","","",""
"Question asked:","","",""
"You said that you knew support was available for care-experienced students in higher education. How did you find out that support was available? Please select all that apply. ","","",""
"------------------------------------------------------------------","","",""
"------------------------------------------------------------------","","",""
"Response","Class","Class Level","Proportion of respondents"
"From a teacher or member of staff in school or college","All","All","46%"
"From my pathway plan Personal Adviser","All","All","25%"
"From a parent/foster carer/staff member at a home","All","All","26%"
"I saw information on UCAS’ website / social media channels","All","All","31%"
"I saw information on a university or college website when I was researching courses","All","All","31%"
"From a family member","All","All","12%"
"I can’t remember","All","All","5%"
"Other (please specify)","All","All","3%"
"From a teacher or member of staff in school or college","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","46%"
"From a teacher or member of staff in school or college","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","44%"
"From my pathway plan Personal Adviser","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","8%"
"From my pathway plan Personal Adviser","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","49%"
"From a parent/foster carer/staff member at a home","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","22%"
"From a parent/foster carer/staff member at a home","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","34%"
"I saw information on UCAS’ website / social media channels","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","32%"
"I saw information on UCAS’ website / social media channels","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","20%"
"I saw information on a university or college website when I was researching courses","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","23%"
"I saw information on a university or college website when I was researching courses","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","25%"
"From a family member","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","10%"
"From a family member","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","6%"
"I can’t remember","Did applicant discuss plans for HE with Pathway Plan personal adviser?","No","10%"
"I can’t remember","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","5%"
"Other (please specify)","Did applicant discuss plans for HE with Pathway Plan personal adviser?","Yes","2%"
