"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"You said that you had to move schools because your care placement changed. How did moving schools impact you? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
"Academic - this might mean the content of your course, change of exam boards, availability of subjects or qualifications and how this impacted on your exam performance","Positive impact","29%"
"Academic - this might mean the content of your course, change of exam boards, availability of subjects or qualifications and how this impacted on your exam performance","No impact","27%"
"Academic - this might mean the content of your course, change of exam boards, availability of subjects or qualifications and how this impacted on your exam performance","Negative impact","28%"
"Academic - this might mean the content of your course, change of exam boards, availability of subjects or qualifications and how this impacted on your exam performance","Both positive and negative impact","16%"
"Social - this might mean your friendship groups, making new friends, clubs and extra-curricular activities","Positive impact","31%"
"Social - this might mean your friendship groups, making new friends, clubs and extra-curricular activities","No impact","17%"
"Social - this might mean your friendship groups, making new friends, clubs and extra-curricular activities","Negative impact","41%"
"Social - this might mean your friendship groups, making new friends, clubs and extra-curricular activities","Both positive and negative impact","12%"
"Support - this might be the staff in the school or college who know how to support your circumstances, a community of people helping you","Positive impact","45%"
"Support - this might be the staff in the school or college who know how to support your circumstances, a community of people helping you","No impact","30%"
"Support - this might be the staff in the school or college who know how to support your circumstances, a community of people helping you","Negative impact","19%"
"Support - this might be the staff in the school or college who know how to support your circumstances, a community of people helping you","Both positive and negative impact","6%"
