"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"As a care-experienced student, how much did the following factors influence your decisions when you were researching your options? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
" Financial support for care-experienced students (e.g. bursaries and grants)","Influenced","64%"
" Financial support for care-experienced students (e.g. bursaries and grants)","No influence","36%"
" Year-round accommodation (i.e. during holiday periods)","Influenced","54%"
" Year-round accommodation (i.e. during holiday periods)","No influence","46%"
" Guaranteed accommodation for the duration of your studies","Influenced","63%"
" Guaranteed accommodation for the duration of your studies","No influence","37%"
" A named contact who specifically supports care-experienced students","Influenced","51%"
" A named contact who specifically supports care-experienced students","No influence","49%"
" University had been awarded the NNECL Quality Mark","Influenced","38%"
" University had been awarded the NNECL Quality Mark","No influence","62%"
" Access to mental health and wellbeing support","Influenced","76%"
" Access to mental health and wellbeing support","No influence","24%"
" Guidance through the application process (e.g. help to apply for bursaries or find accommodation)","Influenced","62%"
" Guidance through the application process (e.g. help to apply for bursaries or find accommodation)","No influence","38%"
" A mentor or buddy network to help you settle in","Influenced","46%"
" A mentor or buddy network to help you settle in","No influence","54%"
" Induction events, activities and visits to help care-experienced people prepare for higher education and get to know the university","Influenced","61%"
" Induction events, activities and visits to help care-experienced people prepare for higher education and get to know the university","No influence","39%"
" The opportunity to talk to current care-experienced students","Influenced","44%"
" The opportunity to talk to current care-experienced students","No influence","56%"
" A web page outlining the support care experienced student can access","Influenced","61%"
" A web page outlining the support care experienced student can access","No influence","39%"
" Clubs, societies or networks specifically for care-experienced students","Influenced","42%"
" Clubs, societies or networks specifically for care-experienced students","No influence","58%"
" Help with the costs of graduation","Influenced","65%"
" Help with the costs of graduation","No influence","35%"
