"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Why do you want to go to university or college? Please select all that apply. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"To help me pursue a particular career","74%"
"Because I am passionate about the subject I want to study","62%"
"To help me to get a better job","47%"
"To earn more money in the future","49%"
"To become more independent","48%"
"Because it is expected of me","18%"
"To experience uni life and have fun","38%"
"To meet new people","43%"
"Everyone else I know is going to uni","5%"
"To help figure out what I want to do with my life","23%"
"To be intellectually challenged","32%"
"To get a qualification that is internationally recognised","46%"
"To develop the essential skills needed in my career","46%"
"A desire to move to a new town or city","28%"
"Other (please specify)","1%"
