"------------------------------------------------------------------","","",""
"Next steps: what is the experience of students from a care background in education?","","",""
"Supporting data table","","",""
"------------------------------------------------------------------","","",""
"Group variables: Response, Class (Domicile), Level (Scotland)","","",""
"Statistics: Proportion of respondents","","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","","",""
"Survey responses are weighted to represent the entire sample population.","","",""
"Percentages are rounded to the nearest whole number.","","",""
"------------------------------------------------------------------","","",""
"Question asked:","","",""
"Which of the following, if any, are reasons why you chose to share your care background in the UCAS application? Please select all that apply. ","","",""
"------------------------------------------------------------------","","",""
"------------------------------------------------------------------","","",""
"Response","Class","Class Level","Proportion of respondents"
"I live in Scotland and I am eligible for the guaranteed offer so wanted to make sure the university took this into account when making an offer","All","All","2%"
"I knew there was support available in higher education for care-experienced students and that this was the way to let the university or college know","All","All","37%"
"My teacher/adviser encouraged me to share this information","All","All","20%"
"I saw no reason not to share this information","All","All","41%"
"I thought I had to","All","All","29%"
"I’m not sure","All","All","8%"
"Other (please specify)","All","All","2%"
"I live in Scotland and I am eligible for the guaranteed offer so wanted to make sure the university took this into account when making an offer","Domicile","Scotland","24%"
"I knew support was available for care-experienced students","Domicile","Scotland","41%"
"My teacher/adviser encouraged me to share this information","Domicile","Scotland","18%"
"I saw no reason not to share this information","Domicile","Scotland","44%"
"I thought I had to","Domicile","Scotland","21%"
"I’m not sure","Domicile","Scotland","11%"
