"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"As a care-experienced student, how supported did you feel at school or college with the following factors? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
"General and pastoral support: this might include someone to talk to about your circumstances, or guidance on getting the help you need","Supported","41%"
"General and pastoral support: this might include someone to talk to about your circumstances, or guidance on getting the help you need","Neutral","31%"
"General and pastoral support: this might include someone to talk to about your circumstances, or guidance on getting the help you need","Unsupported","28%"
"Educational support: this might mean help to access learning support (if needed), homework support, help to manage your workload or prepare for exams","Supported","36%"
"Educational support: this might mean help to access learning support (if needed), homework support, help to manage your workload or prepare for exams","Neutral","29%"
"Educational support: this might mean help to access learning support (if needed), homework support, help to manage your workload or prepare for exams","Unsupported","34%"
"Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends","Supported","32%"
"Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends","Neutral","29%"
"Social and extra-curricular support: this might mean clubs or groups that help you meet people and make friends","Unsupported","39%"
