"------------------------------------------------------------------","",""
"Next steps: what is the experience of students from a care background in education?","",""
"Supporting data table","",""
"------------------------------------------------------------------","",""
"Group variables: Row option, Response","",""
"Statistics: Proportion of respondents","",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK","",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them","",""
"Survey responses are weighted to represent the entire sample population.","",""
"Percentages are rounded to the nearest whole number.","",""
"------------------------------------------------------------------","",""
"Question asked:","",""
"How supported have you felt by your pathway plan Personal Adviser so far in relation to the following areas? ","",""
"------------------------------------------------------------------","",""
"------------------------------------------------------------------","",""
"Row option","Response","Proportion of respondents"
"Careers information, advice and guidance generally","Supported","62%"
"Careers information, advice and guidance generally","Neutral","25%"
"Careers information, advice and guidance generally","Unsupported","13%"
"Choosing your post-16 qualifications and subjects at school or college (e.g. A levels, Highers, BTECs)","Supported","52%"
"Choosing your post-16 qualifications and subjects at school or college (e.g. A levels, Highers, BTECs)","Neutral","28%"
"Choosing your post-16 qualifications and subjects at school or college (e.g. A levels, Highers, BTECs)","Unsupported","20%"
"Information about apprenticeships","Supported","32%"
"Information about apprenticeships","Neutral","23%"
"Information about apprenticeships","Unsupported","45%"
"Choice of university or college and subject/course","Supported","45%"
"Choice of university or college and subject/course","Neutral","26%"
"Choice of university or college and subject/course","Unsupported","28%"
"Help to complete your UCAS application","Supported","45%"
"Help to complete your UCAS application","Neutral","16%"
"Help to complete your UCAS application","Unsupported","39%"
"Understanding the financial support to go to university or college (e.g. applying for student finance, bursaries and scholarships for care-experienced students)","Supported","59%"
"Understanding the financial support to go to university or college (e.g. applying for student finance, bursaries and scholarships for care-experienced students)","Neutral","19%"
"Understanding the financial support to go to university or college (e.g. applying for student finance, bursaries and scholarships for care-experienced students)","Unsupported","21%"
"Accommodation options at university or college – including information about vacation accommodation, deposits and guarantors","Supported","46%"
"Accommodation options at university or college – including information about vacation accommodation, deposits and guarantors","Neutral","29%"
"Accommodation options at university or college – including information about vacation accommodation, deposits and guarantors","Unsupported","25%"
"Information about managing your mental health and wellbeing at university or college and accessing support","Supported","41%"
"Information about managing your mental health and wellbeing at university or college and accessing support","Neutral","19%"
"Information about managing your mental health and wellbeing at university or college and accessing support","Unsupported","40%"
"How to access support for a disability or learning difference at university or college","Supported","42%"
"How to access support for a disability or learning difference at university or college","Neutral","22%"
"How to access support for a disability or learning difference at university or college","Unsupported","36%"
