"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants who shared that they were care-experienced in their UCAS application and were below the age of 25    Domicile: UK",""
"Coverage: All survey respondents who agreed that the care experienced description applied to them",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Is there anything you are particularly looking forward to about starting university or college? Please tick all that apply. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"Deepening my knowledge and skills in a particular area","68%"
"Making a fresh start","64%"
"Meeting new people","68%"
"Joining clubs and societies, or taking up a new hobby","44%"
"Being more independent","66%"
"Exploring a new town or city","44%"
"Studying the subject I love","71%"
"None of the above","1%"
"Other (please specify)","1%"
