"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, A level points"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds with at least 3 A levels, who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,A level points,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","3 - 9 points","43,170","37,550","26.7%","25.3%"
2018,"Not care experienced","10 - 12 points","52,150","47,610","32.3%","32.1%"
2018,"Not care experienced","13 - 15 points","44,260","41,860","27.4%","28.2%"
2018,"Not care experienced","16 - 18 points","21,860","21,170","13.5%","14.3%"
2018,"Care experienced","3 - 9 points","270","230","43.1%","41.1%"
2018,"Care experienced","10 - 12 points","180","170","28.9%","30.2%"
2018,"Care experienced","13 - 15 points","130","120","21.5%","22.0%"
2018,"Care experienced","16 - 18 points","40","40","6.6%","6.8%"
2019,"Not care experienced","3 - 9 points","45,540","39,390","28.4%","27.0%"
2019,"Not care experienced","10 - 12 points","50,840","46,220","31.7%","31.6%"
2019,"Not care experienced","13 - 15 points","42,840","40,110","26.7%","27.5%"
2019,"Not care experienced","16 - 18 points","21,270","20,410","13.3%","14.0%"
2019,"Care experienced","3 - 9 points","270","230","40.6%","38.2%"
2019,"Care experienced","10 - 12 points","230","210","34.6%","35.5%"
2019,"Care experienced","13 - 15 points","130","120","19.3%","20.7%"
2019,"Care experienced","16 - 18 points","40","30","5.5%","5.7%"
2020,"Not care experienced","3 - 9 points","25,960","22,710","15.6%","14.9%"
2020,"Not care experienced","10 - 12 points","48,280","43,570","29.0%","28.5%"
2020,"Not care experienced","13 - 15 points","53,600","49,630","32.2%","32.5%"
2020,"Not care experienced","16 - 18 points","38,400","36,750","23.1%","24.1%"
2020,"Care experienced","3 - 9 points","210","180","25.4%","25.3%"
2020,"Care experienced","10 - 12 points","280","240","34.2%","33.5%"
2020,"Care experienced","13 - 15 points","220","200","27.2%","27.1%"
2020,"Care experienced","16 - 18 points","110","100","13.2%","14.0%"
2021,"Not care experienced","3 - 9 points","23,880","20,300","13.4%","12.5%"
2021,"Not care experienced","10 - 12 points","44,240","39,710","24.7%","24.5%"
2021,"Not care experienced","13 - 15 points","58,440","53,420","32.7%","32.9%"
2021,"Not care experienced","16 - 18 points","52,210","48,730","29.2%","30.1%"
2021,"Care experienced","3 - 9 points","230","200","25.6%","24.4%"
2021,"Care experienced","10 - 12 points","240","220","26.3%","26.3%"
2021,"Care experienced","13 - 15 points","300","280","33.1%","33.9%"
2021,"Care experienced","16 - 18 points","140","130","15.0%","15.4%"
2022,"Not care experienced","3 - 9 points","34,250","28,520","18.9%","17.8%"
2022,"Not care experienced","10 - 12 points","48,980","43,160","27.0%","26.9%"
2022,"Not care experienced","13 - 15 points","55,090","49,180","30.4%","30.7%"
2022,"Not care experienced","16 - 18 points","42,960","39,340","23.7%","24.6%"
2022,"Care experienced","3 - 9 points","470","390","30.6%","29.2%"
2022,"Care experienced","10 - 12 points","490","430","31.9%","32.0%"
2022,"Care experienced","13 - 15 points","400","360","25.8%","26.8%"
2022,"Care experienced","16 - 18 points","180","160","11.7%","12.0%"
