"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, BTEC Extended Diploma profile"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds with a BTEC Extended Diploma, who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,BTEC Extended Diploma profile,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","PPP","590","400","2.4%","2.0%"
2018,"Not care experienced","MPP","800","600","3.4%","2.9%"
2018,"Not care experienced","MMP","1,030","820","4.3%","4.0%"
2018,"Not care experienced","MMM","1,550","1,290","6.5%","6.3%"
2018,"Not care experienced","DMM","2,210","1,900","9.2%","9.3%"
2018,"Not care experienced","DDM","2,670","2,260","11.2%","11.0%"
2018,"Not care experienced","DDD","2,600","2,260","10.9%","11.1%"
2018,"Not care experienced","D*DD","2,630","2,280","11.0%","11.1%"
2018,"Not care experienced","D*D*D","2,840","2,460","11.9%","12.0%"
2018,"Not care experienced","D*D*D*","7,010","6,200","29.3%","30.3%"
2018,"Care experienced","PPP","10","10","",""
2018,"Care experienced","MPP","10","10","",""
2018,"Care experienced","MMP","10","10","",""
2018,"Care experienced","MMM","10","10","",""
2018,"Care experienced","DMM","10","10","",""
2018,"Care experienced","DDM","30","20","12.9%","14.3%"
2018,"Care experienced","DDD","20","20","11.9%","11.9%"
2018,"Care experienced","D*DD","20","20","9.3%","8.9%"
2018,"Care experienced","D*D*D","20","20","11.3%","11.9%"
2018,"Care experienced","D*D*D*","50","40","24.2%","23.8%"
2019,"Not care experienced","PPP","490","340","2.2%","1.8%"
2019,"Not care experienced","MPP","760","550","3.4%","2.9%"
2019,"Not care experienced","MMP","990","780","4.4%","4.1%"
2019,"Not care experienced","MMM","1,470","1,210","6.6%","6.3%"
2019,"Not care experienced","DMM","2,170","1,860","9.8%","9.7%"
2019,"Not care experienced","DDM","2,540","2,190","11.4%","11.5%"
2019,"Not care experienced","DDD","2,630","2,330","11.8%","12.2%"
2019,"Not care experienced","D*DD","2,740","2,410","12.3%","12.6%"
2019,"Not care experienced","D*D*D","2,650","2,300","11.9%","12.0%"
2019,"Not care experienced","D*D*D*","5,820","5,130","26.2%","26.9%"
2019,"Care experienced","PPP","10","10","",""
2019,"Care experienced","MPP","20","10","6.5%",""
2019,"Care experienced","MMP","20","20","7.3%","7.9%"
2019,"Care experienced","MMM","20","20","9.5%","10.4%"
2019,"Care experienced","DMM","30","20","11.2%","11.4%"
2019,"Care experienced","DDM","30","30","14.7%","15.3%"
2019,"Care experienced","DDD","30","30","13.8%","13.4%"
2019,"Care experienced","D*DD","20","20","9.5%","8.9%"
2019,"Care experienced","D*D*D","10","10","",""
2019,"Care experienced","D*D*D*","50","40","19.8%","20.3%"
2020,"Not care experienced","PPP","570","420","2.4%","2.0%"
2020,"Not care experienced","MPP","870","710","3.6%","3.3%"
2020,"Not care experienced","MMP","1,160","960","4.8%","4.5%"
2020,"Not care experienced","MMM","1,650","1,390","6.8%","6.6%"
