"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Rounded mean of best 3 GCSE grades"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants holding at least 3 GCSEs, who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Rounded mean of best 3 GCSE grades,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","1","10","10","",""
2018,"Not care experienced","2","130","90","0.0%","0.0%"
2018,"Not care experienced","3","770","530","0.2%","0.1%"
2018,"Not care experienced","4","5,470","4,010","1.3%","1.1%"
2018,"Not care experienced","5","55,800","43,690","13.4%","12.3%"
2018,"Not care experienced","6","121,500","101,440","29.1%","28.5%"
2018,"Not care experienced","7","137,620","119,790","33.0%","33.6%"
2018,"Not care experienced","8","95,740","86,580","23.0%","24.3%"
2018,"Not care experienced","9","100","90","0.0%","0.0%"
2018,"Care experienced","2","10","0","",""
2018,"Care experienced","3","20","10","0.5%",""
2018,"Care experienced","4","130","100","3.8%","3.5%"
2018,"Care experienced","5","910","680","26.6%","25.1%"
2018,"Care experienced","6","1,230","960","35.8%","35.7%"
2018,"Care experienced","7","820","670","23.8%","24.9%"
2018,"Care experienced","8","320","270","9.4%","10.1%"
2019,"Not care experienced","1","10","10","",""
2019,"Not care experienced","2","130","90","0.0%","0.0%"
2019,"Not care experienced","3","1,170","830","0.3%","0.2%"
2019,"Not care experienced","4","14,420","11,370","3.5%","3.2%"
2019,"Not care experienced","5","58,810","46,930","14.2%","13.3%"
2019,"Not care experienced","6","107,770","89,880","26.0%","25.5%"
2019,"Not care experienced","7","109,750","94,350","26.5%","26.7%"
2019,"Not care experienced","8","70,330","61,720","17.0%","17.5%"
2019,"Not care experienced","9","52,170","47,960","12.6%","13.6%"
2019,"Care experienced","2","10","10","",""
2019,"Care experienced","3","30","20","0.7%","0.5%"
2019,"Care experienced","4","250","200","6.8%","6.8%"
2019,"Care experienced","5","970","730","26.4%","25.0%"
2019,"Care experienced","6","1,210","940","32.9%","32.0%"
2019,"Care experienced","7","740","640","20.3%","21.8%"
2019,"Care experienced","8","340","280","9.2%","9.6%"
2019,"Care experienced","9","130","120","3.6%","4.0%"
2020,"Not care experienced","1","10","10","",""
2020,"Not care experienced","2","210","150","0.0%","0.0%"
2020,"Not care experienced","3","2,420","1,820","0.6%","0.5%"
2020,"Not care experienced","4","21,260","17,580","5.1%","4.8%"
2020,"Not care experienced","5","63,590","52,410","15.1%","14.4%"
2020,"Not care experienced","6","100,610","85,410","24.0%","23.5%"
2020,"Not care experienced","7","97,850","84,780","23.3%","23.4%"
2020,"Not care experienced","8","73,930","65,260","17.6%","18.0%"
2020,"Not care experienced","9","60,160","55,460","14.3%","15.3%"
2020,"Care experienced","2","10","10","",""
2020,"Care experienced","3","60","40","1.4%","1.2%"
2020,"Care experienced","4","390","280","9.8%","8.9%"
2020,"Care experienced","5","1,060","860","26.7%","26.9%"
2020,"Care experienced","6","1,130","910","28.7%","28.6%"
2020,"Care experienced","7","760","630","19.1%","19.8%"
2020,"Care experienced","8","360","290","9.2%","9.1%"
2020,"Care experienced","9","190","170","4.8%","5.2%"
2021,"Not care experienced","1","20","10","0.0%",""
2021,"Not care experienced","2","290","190","0.1%","0.1%"
2021,"Not care experienced","3","2,880","2,070","0.7%","0.6%"
2021,"Not care experienced","4","26,320","20,710","6.0%","5.6%"
2021,"Not care experienced","5","70,760","56,270","16.2%","15.3%"
2021,"Not care experienced","6","99,680","82,130","22.8%","22.4%"
2021,"Not care experienced","7","96,100","81,230","22.0%","22.1%"
2021,"Not care experienced","8","79,140","68,580","18.1%","18.7%"
2021,"Not care experienced","9","61,440","55,610","14.1%","15.2%"
2021,"Care experienced","2","10","10","",""
2021,"Care experienced","3","80","50","1.8%","1.6%"
2021,"Care experienced","4","490","370","11.3%","10.8%"
2021,"Care experienced","5","1,160","880","26.8%","26.1%"
2021,"Care experienced","6","1,140","880","26.2%","26.0%"
2021,"Care experienced","7","780","620","18.0%","18.4%"
2021,"Care experienced","8","470","390","10.9%","11.6%"
2021,"Care experienced","9","210","180","4.9%","5.3%"
2022,"Not care experienced","1","20","10","0.0%",""
2022,"Not care experienced","2","260","170","0.1%","0.0%"
2022,"Not care experienced","3","2,110","1,370","0.5%","0.4%"
2022,"Not care experienced","4","24,130","17,980","5.5%","5.0%"
2022,"Not care experienced","5","62,420","48,110","14.2%","13.3%"
2022,"Not care experienced","6","89,310","71,520","20.3%","19.8%"
2022,"Not care experienced","7","95,170","78,720","21.6%","21.8%"
2022,"Not care experienced","8","86,220","72,980","19.6%","20.2%"
2022,"Not care experienced","9","80,390","70,830","18.3%","19.6%"
2022,"Care experienced","2","10","10","",""
2022,"Care experienced","3","80","50","1.3%","1.1%"
2022,"Care experienced","4","590","440","9.7%","9.1%"
2022,"Care experienced","5","1,350","1,010","22.2%","21.2%"
2022,"Care experienced","6","1,530","1,170","25.1%","24.5%"
2022,"Care experienced","7","1,210","970","19.8%","20.4%"
2022,"Care experienced","8","840","700","13.7%","14.6%"
2022,"Care experienced","9","500","430","8.2%","9.0%"
