"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, LGBT+ status"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,LGBT+ status,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","Not LGBT+","482,130","396,080","93.6%","93.7%"
2018,"Not care experienced","LGBT+","33,090","26,750","6.4%","6.3%"
2018,"Care experienced","Not LGBT+","4,770","3,410","87.6%","87.7%"
2018,"Care experienced","LGBT+","670","480","12.4%","12.3%"
2019,"Not care experienced","Not LGBT+","477,390","391,460","93.0%","93.1%"
2019,"Not care experienced","LGBT+","35,850","28,920","7.0%","6.9%"
2019,"Care experienced","Not LGBT+","4,970","3,610","86.8%","86.5%"
2019,"Care experienced","LGBT+","760","560","13.2%","13.5%"
2020,"Not care experienced","Not LGBT+","487,110","403,920","92.3%","92.4%"
2020,"Not care experienced","LGBT+","40,630","33,090","7.7%","7.6%"
2020,"Care experienced","Not LGBT+","5,520","4,010","85.6%","85.1%"
2020,"Care experienced","LGBT+","930","700","14.4%","14.9%"
2021,"Not care experienced","Not LGBT+","500,770","402,220","90.7%","90.8%"
2021,"Not care experienced","LGBT+","51,470","40,840","9.3%","9.2%"
2021,"Care experienced","Not LGBT+","5,980","4,180","83.8%","83.3%"
2021,"Care experienced","LGBT+","1,160","840","16.2%","16.7%"
2022,"Not care experienced","Not LGBT+","483,570","379,990","87.8%","87.5%"
2022,"Not care experienced","LGBT+","66,990","54,110","12.2%","12.5%"
2022,"Care experienced","Not LGBT+","6,990","4,950","78.3%","77.2%"
2022,"Care experienced","LGBT+","1,940","1,460","21.7%","22.8%"
