"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, POLAR4 quintile"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,POLAR4 quintile,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","Unknown","770","550","0.2%","0.1%"
2018,"Not care experienced","Quintile 1","65,360","52,380","12.7%","12.4%"
2018,"Not care experienced","Quintile 2","82,520","67,080","16.0%","15.9%"
2018,"Not care experienced","Quintile 3","97,590","79,570","18.9%","18.8%"
2018,"Not care experienced","Quintile 4","117,070","95,830","22.7%","22.7%"
2018,"Not care experienced","Quintile 5","151,900","127,440","29.5%","30.1%"
2018,"Care experienced","Unknown","10","10","",""
2018,"Care experienced","Quintile 1","1,050","720","19.3%","18.6%"
2018,"Care experienced","Quintile 2","1,020","730","18.7%","18.6%"
2018,"Care experienced","Quintile 3","1,060","750","19.5%","19.3%"
2018,"Care experienced","Quintile 4","1,230","890","22.7%","22.9%"
2018,"Care experienced","Quintile 5","1,070","790","19.6%","20.4%"
2019,"Not care experienced","Unknown","820","580","0.2%","0.1%"
2019,"Not care experienced","Quintile 1","65,680","52,520","12.8%","12.5%"
2019,"Not care experienced","Quintile 2","81,550","66,100","15.9%","15.7%"
2019,"Not care experienced","Quintile 3","97,680","79,510","19.0%","18.9%"
2019,"Not care experienced","Quintile 4","116,310","95,110","22.7%","22.6%"
2019,"Not care experienced","Quintile 5","151,200","126,560","29.5%","30.1%"
2019,"Care experienced","Unknown","10","10","",""
2019,"Care experienced","Quintile 1","1,080","770","18.9%","18.4%"
2019,"Care experienced","Quintile 2","1,140","830","19.9%","19.9%"
2019,"Care experienced","Quintile 3","1,150","820","20.1%","19.7%"
2019,"Care experienced","Quintile 4","1,220","900","21.3%","21.6%"
2019,"Care experienced","Quintile 5","1,120","850","19.6%","20.2%"
2020,"Not care experienced","Unknown","720","470","0.1%","0.1%"
2020,"Not care experienced","Quintile 1","68,660","55,370","13.0%","12.7%"
2020,"Not care experienced","Quintile 2","84,840","69,290","16.1%","15.9%"
2020,"Not care experienced","Quintile 3","99,930","81,940","18.9%","18.7%"
2020,"Not care experienced","Quintile 4","118,550","98,280","22.5%","22.5%"
2020,"Not care experienced","Quintile 5","155,040","131,660","29.4%","30.1%"
2020,"Care experienced","Unknown","20","20","0.3%","0.4%"
2020,"Care experienced","Quintile 1","1,240","900","19.3%","19.1%"
2020,"Care experienced","Quintile 2","1,250","920","19.4%","19.6%"
2020,"Care experienced","Quintile 3","1,260","910","19.5%","19.2%"
2020,"Care experienced","Quintile 4","1,380","1,000","21.4%","21.1%"
2020,"Care experienced","Quintile 5","1,290","970","20.1%","20.7%"
2021,"Not care experienced","Unknown","730","490","0.1%","0.1%"
2021,"Not care experienced","Quintile 1","72,150","55,890","13.1%","12.6%"
2021,"Not care experienced","Quintile 2","88,990","70,090","16.1%","15.8%"
2021,"Not care experienced","Quintile 3","105,000","83,470","19.0%","18.8%"
2021,"Not care experienced","Quintile 4","123,620","99,350","22.4%","22.4%"
2021,"Not care experienced","Quintile 5","161,750","133,770","29.3%","30.2%"
2021,"Care experienced","Unknown","20","10","0.2%",""
2021,"Care experienced","Quintile 1","1,270","860","17.8%","17.1%"
2021,"Care experienced","Quintile 2","1,370","940","19.2%","18.7%"
2021,"Care experienced","Quintile 3","1,460","1,030","20.5%","20.6%"
2021,"Care experienced","Quintile 4","1,430","990","20.0%","19.8%"
2021,"Care experienced","Quintile 5","1,590","1,180","22.3%","23.6%"
2022,"Not care experienced","Unknown","550","390","0.1%","0.1%"
2022,"Not care experienced","Quintile 1","73,450","56,250","13.3%","13.0%"
2022,"Not care experienced","Quintile 2","89,180","68,970","16.2%","15.9%"
2022,"Not care experienced","Quintile 3","104,930","81,630","19.1%","18.8%"
2022,"Not care experienced","Quintile 4","123,000","97,360","22.3%","22.4%"
2022,"Not care experienced","Quintile 5","159,460","129,490","29.0%","29.8%"
2022,"Care experienced","Unknown","20","10","0.2%",""
2022,"Care experienced","Quintile 1","1,640","1,140","18.4%","17.8%"
2022,"Care experienced","Quintile 2","1,710","1,200","19.1%","18.7%"
2022,"Care experienced","Quintile 3","1,780","1,290","19.9%","20.1%"
2022,"Care experienced","Quintile 4","1,810","1,280","20.2%","19.9%"
2022,"Care experienced","Quintile 5","1,980","1,500","22.2%","23.4%"
