"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Scottish Highers points"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds with at least 1 SQA Highers, who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Scottish Highers points,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","10 points or less","2,220","950","12.8%","6.7%"
2018,"Not care experienced","11-12 points","1,400","930","8.1%","6.6%"
2018,"Not care experienced","13-14 points","2,180","1,690","12.6%","11.9%"
2018,"Not care experienced","15-16 points","2,980","2,570","17.2%","18.2%"
2018,"Not care experienced","17-18 points","3,450","3,190","19.9%","22.5%"
2018,"Not care experienced","19-20 points","5,080","4,810","29.4%","34.0%"
2018,"Care experienced","10 points or less","20","10","24.7%",""
2018,"Care experienced","11-12 points","10","10","",""
2018,"Care experienced","13-14 points","10","10","",""
2018,"Care experienced","15-16 points","20","10","19.5%",""
2018,"Care experienced","17-18 points","10","10","",""
2018,"Care experienced","19-20 points","10","10","",""
2019,"Not care experienced","10 points or less","2,360","880","14.0%","6.4%"
2019,"Not care experienced","11-12 points","1,540","1,040","9.1%","7.6%"
2019,"Not care experienced","13-14 points","2,000","1,530","11.8%","11.2%"
2019,"Not care experienced","15-16 points","2,820","2,480","16.7%","18.2%"
2019,"Not care experienced","17-18 points","3,240","3,000","19.2%","22.0%"
2019,"Not care experienced","19-20 points","4,930","4,700","29.2%","34.5%"
2019,"Care experienced","10 points or less","40","10","36.6%",""
2019,"Care experienced","11-12 points","10","10","",""
2019,"Care experienced","13-14 points","20","20","15.2%","20.5%"
2019,"Care experienced","15-16 points","20","20","14.3%","20.5%"
2019,"Care experienced","17-18 points","20","20","14.3%","19.2%"
2019,"Care experienced","19-20 points","10","10","",""
2020,"Not care experienced","10 points or less","1,400","660","8.5%","4.6%"
2020,"Not care experienced","11-12 points","1,150","810","7.0%","5.7%"
2020,"Not care experienced","13-14 points","1,950","1,570","11.8%","11.0%"
2020,"Not care experienced","15-16 points","2,650","2,370","16.1%","16.7%"
2020,"Not care experienced","17-18 points","3,520","3,270","21.3%","23.0%"
2020,"Not care experienced","19-20 points","5,840","5,530","35.4%","38.9%"
2020,"Care experienced","10 points or less","40","20","29.8%","20.6%"
2020,"Care experienced","11-12 points","10","10","",""
2020,"Care experienced","13-14 points","20","20","16.1%","18.6%"
2020,"Care experienced","15-16 points","30","20","20.2%","23.7%"
2020,"Care experienced","17-18 points","20","10","13.7%",""
2020,"Care experienced","19-20 points","10","10","",""
2021,"Not care experienced","10 points or less","1,570","700","8.4%","4.4%"
2021,"Not care experienced","11-12 points","1,060","710","5.7%","4.5%"
2021,"Not care experienced","13-14 points","1,730","1,360","9.2%","8.6%"
2021,"Not care experienced","15-16 points","2,530","2,140","13.5%","13.5%"
2021,"Not care experienced","17-18 points","3,600","3,250","19.3%","20.5%"
2021,"Not care experienced","19-20 points","8,180","7,690","43.8%","48.5%"
2021,"Care experienced","10 points or less","30","20","19.3%","13.1%"
2021,"Care experienced","11-12 points","10","10","",""
2021,"Care experienced","13-14 points","20","20","13.3%","14.6%"
2021,"Care experienced","15-16 points","30","30","20.7%","20.0%"
2021,"Care experienced","17-18 points","30","30","18.0%","20.8%"
2021,"Care experienced","19-20 points","30","30","22.7%","25.4%"
2022,"Not care experienced","10 points or less","2,000","830","10.4%","5.1%"
2022,"Not care experienced","11-12 points","1,260","870","6.5%","5.4%"
2022,"Not care experienced","13-14 points","1,890","1,500","9.8%","9.2%"
2022,"Not care experienced","15-16 points","2,570","2,220","13.3%","13.7%"
2022,"Not care experienced","17-18 points","3,240","2,970","16.8%","18.4%"
2022,"Not care experienced","19-20 points","8,340","7,790","43.3%","48.2%"
2022,"Care experienced","10 points or less","70","30","28.5%","16.2%"
2022,"Care experienced","11-12 points","40","30","15.7%","17.3%"
2022,"Care experienced","13-14 points","30","20","11.2%","12.2%"
2022,"Care experienced","15-16 points","40","40","14.9%","18.3%"
2022,"Care experienced","17-18 points","30","30","13.2%","16.2%"
2022,"Care experienced","19-20 points","40","40","16.5%","19.8%"
