"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Age"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Age,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","17 and under","1,740","1,260","0.3%","0.3%"
2018,"Not care experienced","18","267,500","236,010","51.9%","55.8%"
2018,"Not care experienced","19","92,270","79,480","17.9%","18.8%"
2018,"Not care experienced","20","35,310","27,750","6.9%","6.6%"
2018,"Not care experienced","21 - 24","53,140","36,870","10.3%","8.7%"
2018,"Not care experienced","25 - 29","25,430","16,550","4.9%","3.9%"
2018,"Not care experienced","30 - 34","14,280","9,080","2.8%","2.1%"
2018,"Not care experienced","35 and over","25,570","15,850","5.0%","3.7%"
2018,"Care experienced","17 and under","10","0","",""
2018,"Care experienced","18","1,490","1,260","27.4%","32.4%"
2018,"Care experienced","19","810","660","14.9%","16.9%"
2018,"Care experienced","20","500","370","9.3%","9.6%"
2018,"Care experienced","21 - 24","980","660","18.0%","17.0%"
2018,"Care experienced","25 - 29","510","290","9.3%","7.4%"
2018,"Care experienced","30 - 34","350","190","6.5%","5.0%"
2018,"Care experienced","35 and over","790","450","14.5%","11.6%"
2019,"Not care experienced","17 and under","1,720","1,170","0.3%","0.3%"
2019,"Not care experienced","18","271,760","238,030","52.9%","56.6%"
2019,"Not care experienced","19","89,690","77,110","17.5%","18.3%"
2019,"Not care experienced","20","33,970","26,630","6.6%","6.3%"
2019,"Not care experienced","21 - 24","51,490","35,930","10.0%","8.5%"
2019,"Not care experienced","25 - 29","24,720","16,210","4.8%","3.9%"
2019,"Not care experienced","30 - 34","14,090","9,050","2.7%","2.2%"
2019,"Not care experienced","35 and over","25,800","16,250","5.0%","3.9%"
2019,"Care experienced","17 and under","10","10","",""
2019,"Care experienced","18","1,690","1,430","29.5%","34.1%"
2019,"Care experienced","19","910","740","15.9%","17.8%"
2019,"Care experienced","20","580","430","10.1%","10.3%"
2019,"Care experienced","21 - 24","960","650","16.8%","15.5%"
2019,"Care experienced","25 - 29","530","330","9.3%","8.0%"
2019,"Care experienced","30 - 34","320","190","5.6%","4.5%"
2019,"Care experienced","35 and over","730","400","12.7%","9.7%"
2020,"Not care experienced","17 and under","1,890","1,350","0.4%","0.3%"
2020,"Not care experienced","18","280,930","252,240","53.2%","57.7%"
2020,"Not care experienced","19","85,550","73,420","16.2%","16.8%"
2020,"Not care experienced","20","34,020","26,780","6.4%","6.1%"
2020,"Not care experienced","21 - 24","53,250","37,410","10.1%","8.6%"
2020,"Not care experienced","25 - 29","26,760","17,700","5.1%","4.1%"
2020,"Not care experienced","30 - 34","15,820","10,050","3.0%","2.3%"
2020,"Not care experienced","35 and over","29,530","18,070","5.6%","4.1%"
2020,"Care experienced","17 and under","10","10","",""
2020,"Care experienced","18","1,910","1,650","29.6%","35.1%"
2020,"Care experienced","19","910","730","14.1%","15.5%"
2020,"Care experienced","20","580","440","9.0%","9.4%"
2020,"Care experienced","21 - 24","1,070","750","16.6%","16.0%"
