"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Country"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Country,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","England","426,080","355,380","82.7%","84.0%"
2018,"Not care experienced","Northern Ireland","18,810","14,010","3.7%","3.3%"
2018,"Not care experienced","Scotland","48,270","34,810","9.4%","8.2%"
2018,"Not care experienced","Wales","22,060","18,640","4.3%","4.4%"
2018,"Care experienced","England","4,650","3,350","85.4%","86.0%"
2018,"Care experienced","Northern Ireland","110","60","2.0%","1.6%"
2018,"Care experienced","Scotland","420","280","7.7%","7.1%"
2018,"Care experienced","Wales","270","200","4.9%","5.2%"
2019,"Not care experienced","England","426,120","354,590","83.0%","84.3%"
2019,"Not care experienced","Northern Ireland","18,300","13,780","3.6%","3.3%"
2019,"Not care experienced","Scotland","46,960","33,690","9.1%","8.0%"
2019,"Not care experienced","Wales","21,860","18,330","4.3%","4.4%"
2019,"Care experienced","England","4,910","3,610","85.7%","86.5%"
2019,"Care experienced","Northern Ireland","110","70","1.8%","1.7%"
2019,"Care experienced","Scotland","490","320","8.6%","7.6%"
2019,"Care experienced","Wales","230","170","3.9%","4.2%"
2020,"Not care experienced","England","439,720","367,970","83.3%","84.2%"
2020,"Not care experienced","Northern Ireland","18,170","14,820","3.4%","3.4%"
2020,"Not care experienced","Scotland","47,920","35,640","9.1%","8.2%"
2020,"Not care experienced","Wales","21,920","18,590","4.2%","4.3%"
2020,"Care experienced","England","5,420","4,000","84.1%","84.8%"
2020,"Care experienced","Northern Ireland","140","90","2.1%","2.0%"
2020,"Care experienced","Scotland","620","410","9.6%","8.8%"
2020,"Care experienced","Wales","270","210","4.2%","4.5%"
2021,"Not care experienced","England","457,370","372,410","82.8%","84.1%"
2021,"Not care experienced","Northern Ireland","19,240","14,780","3.5%","3.3%"
2021,"Not care experienced","Scotland","52,210","36,940","9.5%","8.3%"
2021,"Not care experienced","Wales","23,420","18,930","4.2%","4.3%"
2021,"Care experienced","England","5,950","4,170","83.3%","83.2%"
2021,"Care experienced","Northern Ireland","150","100","2.1%","2.0%"
2021,"Care experienced","Scotland","750","520","10.5%","10.3%"
2021,"Care experienced","Wales","300","230","4.2%","4.5%"
2022,"Not care experienced","England","460,950","366,770","83.7%","84.5%"
2022,"Not care experienced","Northern Ireland","18,240","13,520","3.3%","3.1%"
2022,"Not care experienced","Scotland","47,700","35,010","8.7%","8.1%"
2022,"Not care experienced","Wales","23,670","18,790","4.3%","4.3%"
2022,"Care experienced","England","7,440","5,410","83.3%","84.3%"
2022,"Care experienced","Northern Ireland","200","130","2.2%","2.0%"
2022,"Care experienced","Scotland","910","610","10.2%","9.6%"
2022,"Care experienced","Wales","380","260","4.2%","4.1%"
