"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Disability"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Disability,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","No impairment","455,910","374,600","88.5%","88.6%"
2018,"Not care experienced","Social, behavioural or communication impairment","4,740","4,020","0.9%","0.9%"
2018,"Not care experienced","Visual impairment","540","440","0.1%","0.1%"
2018,"Not care experienced","Hearing impairment","1,090","880","0.2%","0.2%"
2018,"Not care experienced","Long-term illness or health condition","4,820","3,820","0.9%","0.9%"
2018,"Not care experienced","Mental health condition, challenge or disorder","14,800","11,910","2.9%","2.8%"
2018,"Not care experienced","Learning difference","22,950","18,680","4.5%","4.4%"
2018,"Not care experienced","Physical impairment or challenges with mobility","1,380","1,100","0.3%","0.3%"
2018,"Not care experienced","Other condition or impairment","5,600","4,620","1.1%","1.1%"
2018,"Not care experienced","Two or more impairments","3,370","2,770","0.7%","0.7%"
2018,"Care experienced","No impairment","4,270","3,040","78.4%","78.2%"
2018,"Care experienced","Social, behavioural or communication impairment","120","90","2.1%","2.4%"
2018,"Care experienced","Visual impairment","10","10","",""
2018,"Care experienced","Hearing impairment","20","10","0.3%",""
2018,"Care experienced","Long-term illness or health condition","70","50","1.3%","1.3%"
2018,"Care experienced","Mental health condition, challenge or disorder","450","320","8.2%","8.3%"
2018,"Care experienced","Learning difference","310","230","5.7%","5.8%"
2018,"Care experienced","Physical impairment or challenges with mobility","30","30","0.6%","0.6%"
2018,"Care experienced","Other condition or impairment","70","50","1.3%","1.2%"
2018,"Care experienced","Two or more impairments","100","70","1.9%","1.7%"
2019,"Not care experienced","No impairment","449,400","368,270","87.6%","87.6%"
2019,"Not care experienced","Social, behavioural or communication impairment","5,140","4,310","1.0%","1.0%"
