"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Duration of care"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Duration of care,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced",NA,"515,220","422,840","100.0%","100.0%"
2018,"Care experienced","Less than 1 week","110","70","2.0%","1.9%"
2018,"Care experienced","1 week - 3 months","450","320","8.3%","8.3%"
2018,"Care experienced","3 months - 1 year","890","650","16.3%","16.8%"
2018,"Care experienced","1 year - 3 years","1,350","980","24.8%","25.1%"
2018,"Care experienced","3 years or more","2,650","1,870","48.6%","48.0%"
2019,"Not care experienced",NA,"513,230","420,380","100.0%","100.0%"
2019,"Care experienced","Less than 1 week","120","90","2.0%","2.2%"
2019,"Care experienced","1 week - 3 months","480","350","8.4%","8.4%"
2019,"Care experienced","3 months - 1 year","980","750","17.0%","18.0%"
2019,"Care experienced","1 year - 3 years","1,440","1,060","25.1%","25.5%"
2019,"Care experienced","3 years or more","2,720","1,920","47.5%","46.0%"
2020,"Not care experienced",NA,"527,740","437,010","100.0%","100.0%"
2020,"Care experienced","Less than 1 week","130","100","2.0%","2.2%"
2020,"Care experienced","1 week - 3 months","550","430","8.6%","9.2%"
2020,"Care experienced","3 months - 1 year","1,070","810","16.7%","17.1%"
2020,"Care experienced","1 year - 3 years","1,600","1,160","24.8%","24.6%"
2020,"Care experienced","3 years or more","3,090","2,210","47.9%","46.9%"
2021,"Not care experienced",NA,"552,240","443,060","100.0%","100.0%"
2021,"Care experienced","Less than 1 week","120","100","1.7%","1.9%"
2021,"Care experienced","1 week - 3 months","520","370","7.3%","7.3%"
2021,"Care experienced","3 months - 1 year","1,220","890","17.1%","17.7%"
2021,"Care experienced","1 year - 3 years","1,830","1,300","25.7%","26.0%"
2021,"Care experienced","3 years or more","3,440","2,360","48.1%","47.1%"
2022,"Not care experienced",NA,"550,550","434,090","100.0%","100.0%"
2022,"Care experienced","Less than 1 week","160","120","1.8%","1.9%"
2022,"Care experienced","1 week - 3 months","840","610","9.4%","9.6%"
2022,"Care experienced","3 months - 1 year","1,670","1,200","18.7%","18.7%"
2022,"Care experienced","1 year - 3 years","2,250","1,640","25.2%","25.5%"
2022,"Care experienced","3 years or more","4,010","2,840","44.9%","44.3%"
