"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Ethnic group"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Ethnic group,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","White","371,470","307,870","72.1%","72.8%"
2018,"Not care experienced","Black","42,070","31,550","8.2%","7.5%"
2018,"Not care experienced","Asian","63,380","52,560","12.3%","12.4%"
2018,"Not care experienced","Mixed","23,250","19,210","4.5%","4.5%"
2018,"Not care experienced","Other","9,840","7,770","1.9%","1.8%"
2018,"Not care experienced","Unknown","5,210","3,890","1.0%","0.9%"
2018,"Care experienced","White","2,930","2,140","53.8%","55.1%"
2018,"Care experienced","Black","1,290","840","23.7%","21.5%"
2018,"Care experienced","Asian","530","400","9.8%","10.3%"
2018,"Care experienced","Mixed","500","390","9.1%","9.9%"
2018,"Care experienced","Other","130","90","2.4%","2.2%"
2018,"Care experienced","Unknown","70","40","1.3%","1.0%"
2019,"Not care experienced","White","361,640","298,610","70.5%","71.0%"
2019,"Not care experienced","Black","43,510","32,890","8.5%","7.8%"
2019,"Not care experienced","Asian","67,140","55,700","13.1%","13.3%"
2019,"Not care experienced","Mixed","24,350","20,130","4.7%","4.8%"
2019,"Not care experienced","Other","10,810","8,520","2.1%","2.0%"
2019,"Not care experienced","Unknown","5,790","4,520","1.1%","1.1%"
2019,"Care experienced","White","3,150","2,390","54.9%","57.3%"
2019,"Care experienced","Black","1,300","840","22.7%","20.2%"
2019,"Care experienced","Asian","570","420","9.9%","10.0%"
2019,"Care experienced","Mixed","480","360","8.3%","8.6%"
2019,"Care experienced","Other","160","110","2.9%","2.7%"
2019,"Care experienced","Unknown","70","50","1.3%","1.2%"
2020,"Not care experienced","White","368,420","309,400","69.8%","70.8%"
2020,"Not care experienced","Black","45,680","34,200","8.7%","7.8%"
2020,"Not care experienced","Asian","70,130","58,090","13.3%","13.3%"
2020,"Not care experienced","Mixed","25,890","21,620","4.9%","4.9%"
2020,"Not care experienced","Other","11,660","9,220","2.2%","2.1%"
2020,"Not care experienced","Unknown","5,950","4,480","1.1%","1.0%"
2020,"Care experienced","White","3,460","2,640","53.7%","56.0%"
2020,"Care experienced","Black","1,530","970","23.8%","20.7%"
2020,"Care experienced","Asian","660","510","10.2%","10.8%"
2020,"Care experienced","Mixed","540","420","8.4%","8.9%"
2020,"Care experienced","Other","170","130","2.6%","2.7%"
2020,"Care experienced","Unknown","80","50","1.3%","1.0%"
2021,"Not care experienced","White","382,780","310,580","69.3%","70.1%"
2021,"Not care experienced","Black","48,080","34,640","8.7%","7.8%"
2021,"Not care experienced","Asian","75,000","61,170","13.6%","13.8%"
2021,"Not care experienced","Mixed","28,040","22,730","5.1%","5.1%"
2021,"Not care experienced","Other","12,480","9,560","2.3%","2.2%"
2021,"Not care experienced","Unknown","5,870","4,380","1.1%","1.0%"
2021,"Care experienced","White","3,810","2,810","53.4%","56.0%"
2021,"Care experienced","Black","1,650","980","23.1%","19.4%"
2021,"Care experienced","Asian","770","580","10.8%","11.6%"
2021,"Care experienced","Mixed","620","440","8.6%","8.9%"
2021,"Care experienced","Other","200","140","2.8%","2.9%"
2021,"Care experienced","Unknown","90","60","1.3%","1.2%"
2022,"Not care experienced","White","369,550","295,790","67.1%","68.1%"
2022,"Not care experienced","Black","51,190","36,820","9.3%","8.5%"
2022,"Not care experienced","Asian","79,700","62,710","14.5%","14.4%"
2022,"Not care experienced","Mixed","29,980","24,030","5.4%","5.5%"
2022,"Not care experienced","Other","14,600","10,770","2.7%","2.5%"
2022,"Not care experienced","Unknown","5,530","3,980","1.0%","0.9%"
2022,"Care experienced","White","5,050","3,700","56.5%","57.7%"
2022,"Care experienced","Black","1,560","1,010","17.4%","15.7%"
2022,"Care experienced","Asian","1,010","750","11.3%","11.7%"
2022,"Care experienced","Mixed","950","720","10.7%","11.3%"
2022,"Care experienced","Other","250","160","2.8%","2.6%"
2022,"Care experienced","Unknown","110","70","1.3%","1.1%"
