"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Gender"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Gender,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","Female","298,150","242,340","57.9%","57.3%"
2018,"Not care experienced","Male","217,070","180,490","42.1%","42.7%"
2018,"Care experienced","Female","3,610","2,530","66.2%","65.1%"
2018,"Care experienced","Male","1,840","1,360","33.8%","34.9%"
2019,"Not care experienced","Female","298,510","241,860","58.2%","57.5%"
2019,"Not care experienced","Male","214,720","178,520","41.8%","42.5%"
2019,"Care experienced","Female","3,750","2,700","65.4%","64.8%"
2019,"Care experienced","Male","1,980","1,470","34.6%","35.2%"
2020,"Not care experienced","Female","310,160","253,980","58.8%","58.1%"
2020,"Not care experienced","Male","217,580","183,030","41.2%","41.9%"
2020,"Care experienced","Female","4,310","3,130","66.9%","66.3%"
2020,"Care experienced","Male","2,140","1,590","33.1%","33.7%"
2021,"Not care experienced","Female","327,000","258,080","59.2%","58.2%"
2021,"Not care experienced","Male","225,240","184,990","40.8%","41.8%"
2021,"Care experienced","Female","4,780","3,300","67.0%","65.7%"
2021,"Care experienced","Male","2,360","1,720","33.0%","34.3%"
2022,"Not care experienced","Female","321,380","251,020","58.4%","57.8%"
2022,"Not care experienced","Male","229,180","183,080","41.6%","42.2%"
2022,"Care experienced","Female","5,850","4,180","65.6%","65.2%"
2022,"Care experienced","Male","3,080","2,230","34.4%","34.8%"
