"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Provider tariff group"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK 18 year old applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Provider tariff group,Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2018,"Not care experienced","Lower tariff","354,680","75,180","28.5%","31.9%"
2018,"Not care experienced","Medium tariff","394,410","81,200","31.7%","34.4%"
2018,"Not care experienced","Higher tariff","494,500","79,630","39.8%","33.7%"
2018,"Care experienced","Lower tariff","2,700","590","39.8%","47.0%"
2018,"Care experienced","Medium tariff","2,150","410","31.7%","32.5%"
2018,"Care experienced","Higher tariff","1,930","260","28.5%","20.5%"
2019,"Not care experienced","Lower tariff","350,440","75,150","27.8%","31.6%"
2019,"Not care experienced","Medium tariff","395,790","82,150","31.4%","34.5%"
2019,"Not care experienced","Higher tariff","514,080","80,730","40.8%","33.9%"
2019,"Care experienced","Lower tariff","2,780","650","37.0%","45.5%"
2019,"Care experienced","Medium tariff","2,550","470","34.0%","32.8%"
2019,"Care experienced","Higher tariff","2,170","310","28.9%","21.7%"
2020,"Not care experienced","Lower tariff","361,570","75,520","27.9%","29.9%"
2020,"Not care experienced","Medium tariff","402,160","84,320","31.0%","33.4%"
2020,"Not care experienced","Higher tariff","532,480","92,400","41.1%","36.6%"
2020,"Care experienced","Lower tariff","3,160","690","36.9%","41.5%"
2020,"Care experienced","Medium tariff","2,770","560","32.3%","34.1%"
2020,"Care experienced","Higher tariff","2,650","400","30.9%","24.4%"
2021,"Not care experienced","Lower tariff","406,610","78,440","28.1%","29.0%"
2021,"Not care experienced","Medium tariff","447,870","88,850","31.0%","32.8%"
2021,"Not care experienced","Higher tariff","592,270","103,290","40.9%","38.2%"
2021,"Care experienced","Lower tariff","3,850","740","37.4%","38.8%"
2021,"Care experienced","Medium tariff","3,340","690","32.5%","35.8%"
2021,"Care experienced","Higher tariff","3,100","490","30.1%","25.5%"
2022,"Not care experienced","Lower tariff","440,150","87,030","28.9%","32.0%"
2022,"Not care experienced","Medium tariff","466,490","93,900","30.6%","34.5%"
2022,"Not care experienced","Higher tariff","618,170","91,440","40.5%","33.6%"
2022,"Care experienced","Lower tariff","6,070","1,190","35.2%","39.3%"
2022,"Care experienced","Medium tariff","5,710","1,100","33.2%","36.5%"
2022,"Care experienced","Higher tariff","5,440","730","31.6%","24.2%"
