"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Provider tariff group"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Provider tariff group,Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2018,"Not care experienced","Lower tariff","708,210","164,110","33.5%","38.8%"
2018,"Not care experienced","Medium tariff","685,790","144,710","32.4%","34.2%"
2018,"Not care experienced","Higher tariff","720,960","114,010","34.1%","27.0%"
2018,"Care experienced","Lower tariff","9,790","2,190","48.4%","56.2%"
2018,"Care experienced","Medium tariff","6,140","1,160","30.3%","29.7%"
2018,"Care experienced","Higher tariff","4,290","550","21.2%","14.2%"
2019,"Not care experienced","Lower tariff","688,510","161,760","32.8%","38.5%"
2019,"Not care experienced","Medium tariff","675,900","143,880","32.2%","34.2%"
2019,"Not care experienced","Higher tariff","734,200","114,740","35.0%","27.3%"
2019,"Care experienced","Lower tariff","9,720","2,270","46.0%","54.2%"
2019,"Care experienced","Medium tariff","6,670","1,260","31.5%","30.2%"
2019,"Care experienced","Higher tariff","4,760","650","22.5%","15.6%"
2020,"Not care experienced","Lower tariff","701,830","162,330","32.9%","37.1%"
2020,"Not care experienced","Medium tariff","678,920","146,650","31.8%","33.6%"
2020,"Not care experienced","Higher tariff","752,160","128,030","35.3%","29.3%"
2020,"Care experienced","Lower tariff","10,820","2,380","45.5%","50.5%"
2020,"Care experienced","Medium tariff","7,600","1,590","32.0%","33.7%"
2020,"Care experienced","Higher tariff","5,370","740","22.6%","15.8%"
2021,"Not care experienced","Lower tariff","761,220","158,930","32.7%","35.9%"
2021,"Not care experienced","Medium tariff","734,850","146,430","31.6%","33.0%"
2021,"Not care experienced","Higher tariff","828,500","137,710","35.6%","31.1%"
2021,"Care experienced","Lower tariff","12,410","2,430","44.7%","48.5%"
2021,"Care experienced","Medium tariff","8,700","1,680","31.3%","33.5%"
2021,"Care experienced","Higher tariff","6,670","900","24.0%","18.0%"
2022,"Not care experienced","Lower tariff","781,790","162,560","33.0%","37.4%"
2022,"Not care experienced","Medium tariff","739,090","148,590","31.2%","34.2%"
2022,"Not care experienced","Higher tariff","848,410","122,950","35.8%","28.3%"
2022,"Care experienced","Lower tariff","14,740","2,950","40.4%","45.9%"
2022,"Care experienced","Medium tariff","11,760","2,200","32.2%","34.3%"
2022,"Care experienced","Higher tariff","9,980","1,270","27.4%","19.8%"
