"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Qualification group"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK 18 year olds who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Qualification group,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","A level Only (With extended project)","29,020","27,240","10.8%","11.5%"
2018,"Not care experienced","A level Only (Without extended project)","127,860","116,620","47.8%","49.4%"
2018,"Not care experienced","BTEC Only","25,600","22,000","9.6%","9.3%"
2018,"Not care experienced","A level & BTEC","18,160","16,210","6.8%","6.9%"
2018,"Not care experienced","SQA Only","17,230","14,080","6.4%","6.0%"
2018,"Not care experienced","IB Only","2,240","2,050","0.8%","0.9%"
2018,"Not care experienced","A level & WB","5,120","4,840","1.9%","2.1%"
2018,"Not care experienced","Cambridge Technicals only","1,400","1,170","0.5%","0.5%"
2018,"Not care experienced","Access to HE only","50","50","0.0%","0.0%"
2018,"Not care experienced","A level & Cambridge Technicals","2,940","2,650","1.1%","1.1%"
2018,"Not care experienced","Other","37,890","29,120","14.2%","12.3%"
2018,"Care experienced","A level Only (With extended project)","100","90","6.4%","7.1%"
2018,"Care experienced","A level Only (Without extended project)","500","450","33.7%","35.7%"
2018,"Care experienced","BTEC Only","220","190","14.9%","15.3%"
2018,"Care experienced","A level & BTEC","120","110","7.9%","8.4%"
2018,"Care experienced","SQA Only","80","60","5.2%","5.0%"
2018,"Care experienced","IB Only","10","10","",""
2018,"Care experienced","A level & WB","20","20","1.4%","1.7%"
2018,"Care experienced","Cambridge Technicals only","20","10","1.2%",""
2018,"Care experienced","A level & Cambridge Technicals","20","20","1.5%","1.8%"
2018,"Care experienced","Other","400","290","27.1%","23.2%"
2019,"Not care experienced","A level Only (With extended project)","30,730","28,620","11.3%","12.0%"
