"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Qualification group"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Qualification group,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","A level Only (With extended project)","33,440","31,420","6.5%","7.4%"
2018,"Not care experienced","A level Only (Without extended project)","162,620","148,280","31.6%","35.1%"
2018,"Not care experienced","BTEC Only","44,320","38,500","8.6%","9.1%"
2018,"Not care experienced","A level & BTEC","21,370","19,170","4.1%","4.5%"
2018,"Not care experienced","SQA Only","36,970","27,850","7.2%","6.6%"
2018,"Not care experienced","IB Only","2,550","2,330","0.5%","0.6%"
2018,"Not care experienced","A level & WB","5,630","5,330","1.1%","1.3%"
2018,"Not care experienced","Cambridge Technicals only","2,150","1,800","0.4%","0.4%"
2018,"Not care experienced","Access to HE only","17,840","15,360","3.5%","3.6%"
2018,"Not care experienced","A level & Cambridge Technicals","3,430","3,120","0.7%","0.7%"
2018,"Not care experienced","Other","184,910","129,690","35.9%","30.7%"
2018,"Care experienced","A level Only (With extended project)","110","110","2.1%","2.7%"
2018,"Care experienced","A level Only (Without extended project)","710","640","13.1%","16.5%"
2018,"Care experienced","BTEC Only","520","450","9.6%","11.6%"
2018,"Care experienced","A level & BTEC","150","130","2.7%","3.3%"
2018,"Care experienced","SQA Only","230","170","4.2%","4.4%"
2018,"Care experienced","IB Only","10","10","",""
2018,"Care experienced","A level & WB","30","30","0.5%","0.7%"
2018,"Care experienced","Cambridge Technicals only","30","20","0.5%","0.6%"
2018,"Care experienced","Access to HE only","510","400","9.3%","10.4%"
2018,"Care experienced","A level & Cambridge Technicals","30","30","0.5%","0.6%"
2018,"Care experienced","Other","3,130","1,910","57.5%","49.0%"
2019,"Not care experienced","A level Only (With extended project)","34,940","32,560","6.8%","7.7%"
2019,"Not care experienced","A level Only (Without extended project)","158,320","143,280","30.8%","34.1%"
2019,"Not care experienced","BTEC Only","40,610","35,270","7.9%","8.4%"
2019,"Not care experienced","A level & BTEC","22,340","20,070","4.4%","4.8%"
2019,"Not care experienced","SQA Only","35,970","26,990","7.0%","6.4%"
2019,"Not care experienced","IB Only","2,690","2,450","0.5%","0.6%"
2019,"Not care experienced","A level & WB","5,550","5,190","1.1%","1.2%"
2019,"Not care experienced","Cambridge Technicals only","2,940","2,460","0.6%","0.6%"
2019,"Not care experienced","Access to HE only","18,160","15,720","3.5%","3.7%"
2019,"Not care experienced","A level & Cambridge Technicals","4,560","4,110","0.9%","1.0%"
2019,"Not care experienced","Other","187,170","132,290","36.5%","31.5%"
2019,"Care experienced","A level Only (With extended project)","140","130","2.4%","3.0%"
2019,"Care experienced","A level Only (Without extended project)","760","680","13.2%","16.3%"
2019,"Care experienced","BTEC Only","540","470","9.4%","11.2%"
2019,"Care experienced","A level & BTEC","180","160","3.1%","3.9%"
2019,"Care experienced","SQA Only","300","210","5.2%","5.0%"
2019,"Care experienced","IB Only","20","20","0.3%","0.4%"
2019,"Care experienced","A level & WB","20","20","0.3%","0.4%"
2019,"Care experienced","Cambridge Technicals only","30","30","0.6%","0.6%"
2019,"Care experienced","Access to HE only","500","430","8.8%","10.3%"
2019,"Care experienced","A level & Cambridge Technicals","30","20","0.4%","0.6%"
2019,"Care experienced","Other","3,230","2,020","56.3%","48.3%"
2020,"Not care experienced","A level Only (With extended project)","34,910","32,460","6.6%","7.4%"
2020,"Not care experienced","A level Only (Without extended project)","162,220","147,860","30.7%","33.8%"
2020,"Not care experienced","BTEC Only","41,960","36,800","8.0%","8.4%"
2020,"Not care experienced","A level & BTEC","24,420","22,120","4.6%","5.1%"
2020,"Not care experienced","SQA Only","35,350","27,730","6.7%","6.3%"
2020,"Not care experienced","IB Only","2,740","2,510","0.5%","0.6%"
2020,"Not care experienced","A level & WB","5,450","5,140","1.0%","1.2%"
2020,"Not care experienced","Cambridge Technicals only","3,120","2,670","0.6%","0.6%"
2020,"Not care experienced","Access to HE only","19,010","16,360","3.6%","3.7%"
2020,"Not care experienced","A level & Cambridge Technicals","5,280","4,790","1.0%","1.1%"
2020,"Not care experienced","Other","193,290","138,570","36.6%","31.7%"
2020,"Care experienced","A level Only (With extended project)","160","150","2.5%","3.2%"
2020,"Care experienced","A level Only (Without extended project)","870","770","13.4%","16.3%"
