"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Sexual orientation"
"Statistics: Applicants, Placed applicants, Proportion of applicants, Proportion of placed applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Sexual orientation,Applicants,Placed applicants,Proportion of applicants,Proportion of placed applicants
2018,"Not care experienced","Heterosexual","393,400","323,590","76.4%","76.5%"
2018,"Not care experienced","Gay man","5,670","4,470","1.1%","1.1%"
2018,"Not care experienced","Gay woman/lesbian","3,790","3,040","0.7%","0.7%"
2018,"Not care experienced","Bisexual","17,310","14,170","3.4%","3.4%"
2018,"Not care experienced","Other","5,610","4,520","1.1%","1.1%"
2018,"Not care experienced","I prefer not to say","89,440","73,050","17.4%","17.3%"
2018,"Care experienced","Heterosexual","4,020","2,880","73.8%","73.9%"
2018,"Care experienced","Gay man","120","90","2.2%","2.3%"
2018,"Care experienced","Gay woman/lesbian","90","60","1.6%","1.6%"
2018,"Care experienced","Bisexual","340","240","6.3%","6.2%"
2018,"Care experienced","Other","110","80","2.0%","2.0%"
2018,"Care experienced","I prefer not to say","770","540","14.2%","14.0%"
2019,"Not care experienced","Heterosexual","389,110","319,380","75.8%","76.0%"
2019,"Not care experienced","Gay man","5,730","4,570","1.1%","1.1%"
2019,"Not care experienced","Gay woman/lesbian","3,860","3,140","0.8%","0.7%"
2019,"Not care experienced","Bisexual","19,840","16,050","3.9%","3.8%"
2019,"Not care experienced","Other","5,650","4,550","1.1%","1.1%"
2019,"Not care experienced","I prefer not to say","89,040","72,710","17.3%","17.3%"
2019,"Care experienced","Heterosexual","4,180","3,030","72.9%","72.6%"
2019,"Care experienced","Gay man","140","100","2.5%","2.5%"
2019,"Care experienced","Gay woman/lesbian","80","60","1.4%","1.5%"
2019,"Care experienced","Bisexual","400","310","7.0%","7.4%"
2019,"Care experienced","Other","110","80","2.0%","1.8%"
2019,"Care experienced","I prefer not to say","810","600","14.2%","14.3%"
2020,"Not care experienced","Heterosexual","395,460","328,270","74.9%","75.1%"
2020,"Not care experienced","Gay man","6,290","5,040","1.2%","1.2%"
2020,"Not care experienced","Gay woman/lesbian","4,350","3,530","0.8%","0.8%"
2020,"Not care experienced","Bisexual","23,050","18,990","4.4%","4.3%"
2020,"Not care experienced","Other","6,090","4,830","1.2%","1.1%"
2020,"Not care experienced","I prefer not to say","92,490","76,340","17.5%","17.5%"
2020,"Care experienced","Heterosexual","4,650","3,360","72.1%","71.4%"
2020,"Care experienced","Gay man","140","110","2.2%","2.3%"
2020,"Care experienced","Gay woman/lesbian","110","90","1.7%","1.8%"
2020,"Care experienced","Bisexual","500","380","7.7%","8.0%"
2020,"Care experienced","Other","160","110","2.4%","2.4%"
2020,"Care experienced","I prefer not to say","900","660","13.9%","14.1%"
2021,"Not care experienced","Heterosexual","408,440","326,440","74.0%","73.7%"
2021,"Not care experienced","Gay man","6,840","5,320","1.2%","1.2%"
2021,"Not care experienced","Gay woman/lesbian","5,640","4,500","1.0%","1.0%"
2021,"Not care experienced","Bisexual","30,150","24,170","5.5%","5.5%"
2021,"Not care experienced","Other","7,920","6,150","1.4%","1.4%"
2021,"Not care experienced","I prefer not to say","93,250","76,480","16.9%","17.3%"
2021,"Care experienced","Heterosexual","5,090","3,540","71.3%","70.6%"
2021,"Care experienced","Gay man","180","140","2.5%","2.8%"
2021,"Care experienced","Gay woman/lesbian","140","100","2.0%","2.0%"
2021,"Care experienced","Bisexual","630","460","8.9%","9.2%"
2021,"Care experienced","Other","170","120","2.3%","2.3%"
2021,"Care experienced","I prefer not to say","930","660","13.0%","13.2%"
2022,"Not care experienced","Heterosexual","421,700","331,380","76.6%","76.3%"
2022,"Not care experienced","Gay man","6,720","5,260","1.2%","1.2%"
2022,"Not care experienced","Gay woman/lesbian","7,120","5,830","1.3%","1.3%"
2022,"Not care experienced","Bisexual","39,830","32,470","7.2%","7.5%"
2022,"Not care experienced","Other","12,330","9,790","2.2%","2.3%"
2022,"Not care experienced","I prefer not to say","62,870","49,360","11.4%","11.4%"
2022,"Care experienced","Heterosexual","6,000","4,240","67.2%","66.0%"
2022,"Care experienced","Gay man","220","160","2.4%","2.5%"
2022,"Care experienced","Gay woman/lesbian","200","150","2.3%","2.3%"
2022,"Care experienced","Bisexual","1,120","860","12.5%","13.3%"
2022,"Care experienced","Other","360","260","4.0%","4.1%"
2022,"Care experienced","I prefer not to say","1,040","750","11.6%","11.7%"
