"----------------------------------------------------"
"Next Steps: what is the experience of students from a care background in education?"
"Supporting data table"
"----------------------------------------------------"
"Group variables: Year, Care category, Subject group (CAH2)"
"Statistics: Main scheme applications, Accepted applicants, Proportion of main scheme applications, Proportion of accepted applicants"
"Coverage: UK applicants who applied by 28 days after JCQ results day"
"Counts are rounded to the nearest 10, percentages are rounded to 1 decimal place. Percentages where either contributing group is less than 20 are suppressed."
"----------------------------------------------------"
"----------------------------------------------------"
Year,Care category,Subject group (CAH2),Main scheme applications,Accepted applicants,Proportion of main scheme applications,Proportion of accepted applicants
2019,"Not care experienced","(CAH01-01) medicine and dentistry","78,090","10,320","3.7%","2.5%"
2019,"Not care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","19,680","3,960","0.9%","0.9%"
2019,"Not care experienced","(CAH02-04) nursing and midwifery","149,960","26,490","7.1%","6.3%"
2019,"Not care experienced","(CAH02-05) medical sciences","55,620","10,940","2.7%","2.6%"
2019,"Not care experienced","(CAH02-06) allied health","67,790","12,880","3.2%","3.1%"
2019,"Not care experienced","(CAH03-01) biosciences","69,320","13,670","3.3%","3.3%"
2019,"Not care experienced","(CAH03-02) sport and exercise sciences","66,930","14,350","3.2%","3.4%"
2019,"Not care experienced","(CAH04-01) psychology","111,740","22,000","5.3%","5.2%"
2019,"Not care experienced","(CAH05-01) veterinary sciences","12,770","1,940","0.6%","0.5%"
2019,"Not care experienced","(CAH06-01) agriculture, food and related studies","14,080","4,220","0.7%","1.0%"
2019,"Not care experienced","(CAH07-01) physics and astronomy","25,040","4,700","1.2%","1.1%"
2019,"Not care experienced","(CAH07-02) chemistry","22,600","4,580","1.1%","1.1%"
2019,"Not care experienced","(CAH07-04) general, applied and forensic sciences","13,580","3,250","0.6%","0.8%"
2019,"Not care experienced","(CAH09-01) mathematical sciences","36,190","7,280","1.7%","1.7%"
2019,"Not care experienced","(CAH10-01) engineering","111,200","21,990","5.3%","5.2%"
2019,"Not care experienced","(CAH10-03) materials and technology","4,650","1,210","0.2%","0.3%"
2019,"Not care experienced","(CAH11-01) computing","106,570","23,010","5.1%","5.5%"
2019,"Not care experienced","(CAH13-01) architecture, building and planning","34,380","7,600","1.6%","1.8%"
2019,"Not care experienced","(CAH15-01) sociology, social policy and anthropology","94,080","19,040","4.5%","4.5%"
2019,"Not care experienced","(CAH15-02) economics","53,790","9,660","2.6%","2.3%"
2019,"Not care experienced","(CAH15-03) politics","43,370","8,340","2.1%","2.0%"
2019,"Not care experienced","(CAH15-04) health and social care","51,210","11,620","2.4%","2.8%"
2019,"Not care experienced","(CAH16-01) law","99,300","20,010","4.7%","4.8%"
2019,"Not care experienced","(CAH17-01) business and management","229,030","47,440","10.9%","11.3%"
2019,"Not care experienced","(CAH19-01) English studies","53,430","11,080","2.5%","2.6%"
2019,"Not care experienced","(CAH19-02) Celtic studies","650","140","0.0%","0.0%"
2019,"Not care experienced","(CAH19-04) languages and area studies","29,280","5,930","1.4%","1.4%"
2019,"Not care experienced","(CAH20-01) history and archaeology","63,820","12,670","3.0%","3.0%"
2019,"Not care experienced","(CAH20-02) philosophy and religious studies","18,490","3,760","0.9%","0.9%"
2019,"Not care experienced","(CAH22-01) education and teaching","69,500","14,300","3.3%","3.4%"
2019,"Not care experienced","(CAH23-01) combined and general studies","7,260","1,790","0.3%","0.4%"
2019,"Not care experienced","(CAH24-01) media, journalism and communications","40,830","8,980","1.9%","2.1%"
2019,"Not care experienced","(CAH25-01) creative arts and design","130,050","28,370","6.2%","6.8%"
2019,"Not care experienced","(CAH25-02) performing arts","71,920","14,250","3.4%","3.4%"
2019,"Not care experienced","(CAH26-01) geography, earth and environmental studies","42,090","8,470","2.0%","2.0%"
2019,"Care experienced","(CAH01-01) medicine and dentistry","510","50","2.4%","1.1%"
2019,"Care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","160","30","0.7%","0.6%"
2019,"Care experienced","(CAH02-04) nursing and midwifery","3,860","620","18.2%","14.9%"
2019,"Care experienced","(CAH02-05) medical sciences","480","80","2.3%","1.9%"
2019,"Care experienced","(CAH02-06) allied health","680","140","3.2%","3.5%"
2019,"Care experienced","(CAH03-01) biosciences","500","100","2.4%","2.3%"
2019,"Care experienced","(CAH03-02) sport and exercise sciences","510","110","2.4%","2.6%"
2019,"Care experienced","(CAH04-01) psychology","1,320","270","6.2%","6.4%"
2019,"Care experienced","(CAH05-01) veterinary sciences","100","10","0.5%",""
2019,"Care experienced","(CAH06-01) agriculture, food and related studies","150","40","0.7%","1.0%"
2019,"Care experienced","(CAH07-01) physics and astronomy","130","20","0.6%","0.5%"
2019,"Care experienced","(CAH07-02) chemistry","150","40","0.7%","0.8%"
2019,"Care experienced","(CAH07-04) general, applied and forensic sciences","150","40","0.7%","0.8%"
2019,"Care experienced","(CAH09-01) mathematical sciences","190","40","0.9%","0.9%"
2019,"Care experienced","(CAH10-01) engineering","830","160","3.9%","3.7%"
2019,"Care experienced","(CAH10-03) materials and technology","60","10","0.3%",""
2019,"Care experienced","(CAH11-01) computing","890","200","4.2%","4.9%"
2019,"Care experienced","(CAH13-01) architecture, building and planning","240","40","1.1%","1.0%"
2019,"Care experienced","(CAH15-01) sociology, social policy and anthropology","1,180","250","5.6%","6.0%"
2019,"Care experienced","(CAH15-02) economics","180","30","0.9%","0.8%"
2019,"Care experienced","(CAH15-03) politics","300","60","1.4%","1.3%"
2019,"Care experienced","(CAH15-04) health and social care","1,540","330","7.3%","7.9%"
2019,"Care experienced","(CAH16-01) law","1,150","240","5.4%","5.8%"
2019,"Care experienced","(CAH17-01) business and management","1,620","360","7.6%","8.6%"
2019,"Care experienced","(CAH19-01) English studies","520","110","2.5%","2.6%"
2019,"Care experienced","(CAH19-04) languages and area studies","210","30","1.0%","0.8%"
2019,"Care experienced","(CAH20-01) history and archaeology","310","60","1.5%","1.5%"
2019,"Care experienced","(CAH20-02) philosophy and religious studies","160","30","0.8%","0.8%"
2019,"Care experienced","(CAH22-01) education and teaching","570","110","2.7%","2.8%"
2019,"Care experienced","(CAH23-01) combined and general studies","60","20","0.3%","0.4%"
2019,"Care experienced","(CAH24-01) media, journalism and communications","310","70","1.4%","1.6%"
2019,"Care experienced","(CAH25-01) creative arts and design","1,220","280","5.8%","6.6%"
2019,"Care experienced","(CAH25-02) performing arts","770","170","3.6%","4.1%"
2019,"Care experienced","(CAH26-01) geography, earth and environmental studies","150","30","0.7%","0.8%"
2020,"Not care experienced","(CAH01-01) medicine and dentistry","81,930","11,190","3.8%","2.6%"
2020,"Not care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","20,260","4,170","1.0%","1.0%"
2020,"Not care experienced","(CAH02-04) nursing and midwifery","166,960","32,240","7.8%","7.4%"
2020,"Not care experienced","(CAH02-05) medical sciences","58,950","11,590","2.8%","2.7%"
2020,"Not care experienced","(CAH02-06) allied health","74,870","14,400","3.5%","3.3%"
2020,"Not care experienced","(CAH03-01) biosciences","68,660","13,560","3.2%","3.1%"
2020,"Not care experienced","(CAH03-02) sport and exercise sciences","69,170","14,910","3.2%","3.4%"
2020,"Not care experienced","(CAH04-01) psychology","114,470","23,330","5.4%","5.3%"
2020,"Not care experienced","(CAH05-01) veterinary sciences","11,360","2,180","0.5%","0.5%"
2020,"Not care experienced","(CAH06-01) agriculture, food and related studies","14,810","4,360","0.7%","1.0%"
2020,"Not care experienced","(CAH07-01) physics and astronomy","25,580","4,900","1.2%","1.1%"
2020,"Not care experienced","(CAH07-02) chemistry","22,150","4,320","1.0%","1.0%"
2020,"Not care experienced","(CAH07-04) general, applied and forensic sciences","13,940","3,280","0.7%","0.7%"
2020,"Not care experienced","(CAH09-01) mathematical sciences","36,120","7,320","1.7%","1.7%"
2020,"Not care experienced","(CAH10-01) engineering","113,220","22,720","5.3%","5.2%"
2020,"Not care experienced","(CAH10-03) materials and technology","5,210","1,270","0.2%","0.3%"
2020,"Not care experienced","(CAH11-01) computing","108,260","23,770","5.1%","5.4%"
2020,"Not care experienced","(CAH13-01) architecture, building and planning","36,270","8,080","1.7%","1.8%"
2020,"Not care experienced","(CAH15-01) sociology, social policy and anthropology","94,890","19,420","4.4%","4.4%"
2020,"Not care experienced","(CAH15-02) economics","54,850","10,140","2.6%","2.3%"
2020,"Not care experienced","(CAH15-03) politics","42,180","8,300","2.0%","1.9%"
2020,"Not care experienced","(CAH15-04) health and social care","50,670","11,030","2.4%","2.5%"
2020,"Not care experienced","(CAH16-01) law","102,590","21,170","4.8%","4.8%"
2020,"Not care experienced","(CAH17-01) business and management","233,450","49,760","10.9%","11.4%"
2020,"Not care experienced","(CAH19-01) English studies","49,590","10,460","2.3%","2.4%"
2020,"Not care experienced","(CAH19-02) Celtic studies","610","120","0.0%","0.0%"
2020,"Not care experienced","(CAH19-04) languages and area studies","27,330","5,690","1.3%","1.3%"
2020,"Not care experienced","(CAH20-01) history and archaeology","58,430","12,050","2.7%","2.8%"
2020,"Not care experienced","(CAH20-02) philosophy and religious studies","18,200","3,740","0.9%","0.9%"
2020,"Not care experienced","(CAH22-01) education and teaching","67,400","15,070","3.2%","3.4%"
2020,"Not care experienced","(CAH23-01) combined and general studies","7,490","1,800","0.4%","0.4%"
2020,"Not care experienced","(CAH24-01) media, journalism and communications","41,140","9,110","1.9%","2.1%"
2020,"Not care experienced","(CAH25-01) creative arts and design","129,370","28,680","6.1%","6.6%"
2020,"Not care experienced","(CAH25-02) performing arts","71,070","14,350","3.3%","3.3%"
2020,"Not care experienced","(CAH26-01) geography, earth and environmental studies","41,460","8,530","1.9%","2.0%"
2020,"Care experienced","(CAH01-01) medicine and dentistry","540","60","2.3%","1.3%"
2020,"Care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","170","30","0.7%","0.5%"
2020,"Care experienced","(CAH02-04) nursing and midwifery","5,170","850","21.7%","18.0%"
2020,"Care experienced","(CAH02-05) medical sciences","600","100","2.5%","2.1%"
2020,"Care experienced","(CAH02-06) allied health","920","150","3.9%","3.1%"
2020,"Care experienced","(CAH03-01) biosciences","520","100","2.2%","2.2%"
2020,"Care experienced","(CAH03-02) sport and exercise sciences","550","130","2.3%","2.8%"
2020,"Care experienced","(CAH04-01) psychology","1,270","250","5.3%","5.3%"
2020,"Care experienced","(CAH05-01) veterinary sciences","50","10","0.2%",""
2020,"Care experienced","(CAH06-01) agriculture, food and related studies","170","50","0.7%","1.1%"
2020,"Care experienced","(CAH07-01) physics and astronomy","130","20","0.5%","0.5%"
2020,"Care experienced","(CAH07-02) chemistry","130","30","0.6%","0.6%"
2020,"Care experienced","(CAH07-04) general, applied and forensic sciences","150","40","0.6%","0.9%"
2020,"Care experienced","(CAH09-01) mathematical sciences","190","40","0.8%","0.9%"
2020,"Care experienced","(CAH10-01) engineering","780","130","3.3%","2.8%"
2020,"Care experienced","(CAH10-03) materials and technology","40","10","0.2%",""
2020,"Care experienced","(CAH11-01) computing","900","210","3.8%","4.6%"
2020,"Care experienced","(CAH13-01) architecture, building and planning","330","70","1.4%","1.6%"
2020,"Care experienced","(CAH15-01) sociology, social policy and anthropology","1,350","300","5.7%","6.3%"
2020,"Care experienced","(CAH15-02) economics","270","50","1.1%","1.1%"
2020,"Care experienced","(CAH15-03) politics","350","80","1.5%","1.6%"
2020,"Care experienced","(CAH15-04) health and social care","1,750","380","7.4%","8.0%"
2020,"Care experienced","(CAH16-01) law","1,300","260","5.5%","5.6%"
2020,"Care experienced","(CAH17-01) business and management","1,730","370","7.3%","7.9%"
2020,"Care experienced","(CAH19-01) English studies","380","100","1.6%","2.1%"
2020,"Care experienced","(CAH19-04) languages and area studies","160","30","0.7%","0.7%"
2020,"Care experienced","(CAH20-01) history and archaeology","320","60","1.3%","1.3%"
2020,"Care experienced","(CAH20-02) philosophy and religious studies","120","30","0.5%","0.6%"
2020,"Care experienced","(CAH22-01) education and teaching","610","140","2.5%","3.1%"
2020,"Care experienced","(CAH23-01) combined and general studies","70","10","0.3%",""
2020,"Care experienced","(CAH24-01) media, journalism and communications","400","90","1.7%","1.9%"
2020,"Care experienced","(CAH25-01) creative arts and design","1,280","270","5.4%","5.8%"
2020,"Care experienced","(CAH25-02) performing arts","920","210","3.9%","4.4%"
2020,"Care experienced","(CAH26-01) geography, earth and environmental studies","180","30","0.8%","0.7%"
2021,"Not care experienced","(CAH01-01) medicine and dentistry","99,800","11,860","4.3%","2.7%"
2021,"Not care experienced","(CAH02-02) pharmacology, toxicology and pharmacy","24,360","4,910","1.0%","1.1%"
2021,"Not care experienced","(CAH02-04) nursing and midwifery","204,880","33,100","8.8%","7.5%"
2021,"Not care experienced","(CAH02-05) medical sciences","63,760","12,170","2.7%","2.7%"
2021,"Not care experienced","(CAH02-06) allied health","93,290","15,310","4.0%","3.5%"
2021,"Not care experienced","(CAH03-01) biosciences","72,800","14,140","3.1%","3.2%"
2021,"Not care experienced","(CAH03-02) sport and exercise sciences","75,820","15,490","3.3%","3.5%"
2021,"Not care experienced","(CAH04-01) psychology","120,200","23,680","5.2%","5.3%"
2021,"Not care experienced","(CAH05-01) veterinary sciences","13,900","2,230","0.6%","0.5%"
2021,"Not care experienced","(CAH06-01) agriculture, food and related studies","16,300","4,400","0.7%","1.0%"
2021,"Not care experienced","(CAH07-01) physics and astronomy","25,950","4,910","1.1%","1.1%"
2021,"Not care experienced","(CAH07-02) chemistry","20,320","4,080","0.9%","0.9%"
2021,"Not care experienced","(CAH07-04) general, applied and forensic sciences","14,920","3,470","0.6%","0.8%"
2021,"Not care experienced","(CAH09-01) mathematical sciences","37,120","7,560","1.6%","1.7%"
2021,"Not care experienced","(CAH10-01) engineering","121,460","23,400","5.2%","5.3%"
2021,"Not care experienced","(CAH10-03) materials and technology","5,320","1,330","0.2%","0.3%"
2021,"Not care experienced","(CAH11-01) computing","112,810","23,800","4.9%","5.4%"
2021,"Not care experienced","(CAH13-01) architecture, building and planning","38,870","7,920","1.7%","1.8%"
2021,"Not care experienced","(CAH15-01) sociology, social policy and anthropology","102,970","19,880","4.4%","4.5%"
2021,"Not care experienced","(CAH15-02) economics","58,150","10,630","2.5%","2.4%"
2021,"Not care experienced","(CAH15-03) politics","45,230","8,630","1.9%","1.9%"
2021,"Not care experienced","(CAH15-04) health and social care","55,190","10,640","2.4%","2.4%"
2021,"Not care experienced","(CAH16-01) law","110,510","21,870","4.8%","4.9%"
2021,"Not care experienced","(CAH17-01) business and management","254,980","50,310","11.0%","11.4%"
2021,"Not care experienced","(CAH19-01) English studies","48,760","10,020","2.1%","2.3%"
2021,"Not care experienced","(CAH19-02) Celtic studies","620","140","0.0%","0.0%"
2021,"Not care experienced","(CAH19-04) languages and area studies","26,040","5,420","1.1%","1.2%"
