"------------------------------------------------------------------",""
"Next steps: what is the experience of students from a care background in education?",""
"Supporting data table",""
"------------------------------------------------------------------",""
"Survey: New Applicant Decisions Survey 2022",""
"Group variables: Response",""
"Statistics: Proportion of respondents",""
"Audience: 2022 applicants (excluding care-experienced applicants and limiting to UK-domiciled applicants aged 24 and under)    Domicile: UK",""
"Coverage: All survey respondents who fit audience parameters",""
"Survey responses are weighted to represent the entire sample population.",""
"Percentages are rounded to the nearest whole number.",""
"------------------------------------------------------------------",""
"Question asked:",""
"Why do you want to go to university? Please select all that apply. ",""
"------------------------------------------------------------------",""
"------------------------------------------------------------------",""
"Response","Proportion of respondents"
"To help me pursue a particular career","72%"
"Because I am passionate about the subject I want to study","71%"
"To help me to get a better job","42%"
"To earn more money in the future","45%"
"To become more independent","44%"
"Because it is expected by family/friends that I would go to uni","16%"
"To experience uni life and have fun","51%"
"To meet new people","51%"
"Everyone else I know is going to uni","6%"
"To help figure out what I want to do with my life","26%"
"To be intellectually challenged","34%"
"To gain a qualification that is internationally recognised","41%"
"To develop the essential skills needed in my career","48%"
"Other (please specify)","2%"
