time_period,time_identifier,geographic_level,country_code,country_name,breakdown_topic,breakdown,progression_rate,high_tariff_progression_rate,number_of_he_students,number_of_high_tariff_he_students,number_of_students
200910,Academic year,National,E92000001,England,FSM Status,Free School Meals,18.6,2.9,14664,2297,78802
200910,Academic year,National,E92000001,England,FSM Status,All Other Pupils,36.2,10.9,187028,56147,516955
200910,Academic year,National,E92000001,England,SEN Provision,SEN support / SEN without an EHC plan,11.2,1.6,9505,1391,84851
200910,Academic year,National,E92000001,England,SEN Provision,"Education, health and care plan",5.5,0.9,1348,224,24456
200910,Academic year,National,E92000001,England,SEN Provision,No SEN provision,39.2,11.7,190839,56829,486450
200910,Academic year,National,E92000001,England,First Language,English,32.1,9.5,173362,51186,539478
200910,Academic year,National,E92000001,England,First Language,Other than English,50.8,13.1,28098,7217,55299
200910,Academic year,National,E92000001,England,First Language,Unclassified,23.7,4.2,232,41,980
200910,Academic year,National,E92000001,England,Sex,Female,37.8,10.7,110611,31325,292506
200910,Academic year,National,E92000001,England,Sex,Male,30.0,8.9,91081,27119,303251
200910,Academic year,National,E92000001,England,Ethnicity Minor,English / Welsh / Scottish / Northern Irish / British,31.3,9.3,151946,44909,485435
200910,Academic year,National,E92000001,England,Ethnicity Minor,Irish,40.1,15.6,874,340,2180
200910,Academic year,National,E92000001,England,Ethnicity Minor,Traveller of Irish Heritage,8.7,1.6,11,2,126
200910,Academic year,National,E92000001,England,Ethnicity Minor,Gypsy / Roma,3.4,0.6,11,2,324
200910,Academic year,National,E92000001,England,Ethnicity Minor,Any Other White Background,41.7,14.1,5074,1717,12155
200910,Academic year,National,E92000001,England,Ethnicity Minor,White and Black Caribbean,27.4,5.0,1392,255,5074
200910,Academic year,National,E92000001,England,Ethnicity Minor,White and Black African,42.9,11.2,533,139,1242
200910,Academic year,National,E92000001,England,Ethnicity Minor,White and Asian,50.1,20.6,1245,512,2486
200910,Academic year,National,E92000001,England,Ethnicity Minor,Any other Mixed / Multiple ethnic background,39.5,12.5,1838,580,4652
200910,Academic year,National,E92000001,England,Ethnicity Minor,Indian,67.3,21.9,9136,2973,13584
200910,Academic year,National,E92000001,England,Ethnicity Minor,Pakistani,44.9,9.1,6269,1271,13971
200910,Academic year,National,E92000001,England,Ethnicity Minor,Bangladeshi,46.4,9.7,2726,567,5872
200910,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Asian Background,57.6,19.8,2452,842,4260
200910,Academic year,National,E92000001,England,Ethnicity Minor,Caribbean,34.2,4.2,2959,359,8644
200910,Academic year,National,E92000001,England,Ethnicity Minor,African,53.9,9.2,5732,979,10631
200910,Academic year,National,E92000001,England,Ethnicity Minor,Any other Black / African / Caribbean background,36.9,5.9,989,158,2677
200910,Academic year,National,E92000001,England,Ethnicity Minor,Chinese,73.3,34.9,1622,771,2212
200910,Academic year,National,E92000001,England,Ethnicity Minor,Any Other Ethnic Group,46.2,13.6,2338,686,5060
200910,Academic year,National,E92000001,England,Ethnicity Minor,Unknown,30.0,9.1,4545,1382,15172
200910,Academic year,National,E92000001,England,POLAR,Q1 - Most Disadvantaged,18.0,3.1,22631,3949,125796
200910,Academic year,National,E92000001,England,POLAR,Q2,27.2,5.9,33113,7220,121530
200910,Academic year,National,E92000001,England,POLAR,Q3,34.0,8.7,40159,10291,118078
200910,Academic year,National,E92000001,England,POLAR,Q4,41.5,12.2,48520,14308,116979
200910,Academic year,National,E92000001,England,POLAR,Q5 - Most Advantaged,51.3,20.4,56408,22460,110014
200910,Academic year,National,E92000001,England,POLAR,Unknown,25.6,6.4,861,216,3360
200910,Academic year,National,E92000001,England,Looked After Status,Looked after continuously for 12 months or more,9.0,1.0,300,50,3500
200910,Academic year,National,E92000001,England,Looked After Status,All Other Pupils,34.0,10.0,201390,58400,592260
200910,Academic year,National,E92000001,England,SEN Status,Any special educational need,9.9,1.5,10853,1615,109307
200910,Academic year,National,E92000001,England,SEN Status,No Identified special educational need,39.2,11.7,190839,56829,486450
200910,Academic year,National,E92000001,England,Ethnicity Major,White,31.6,9.4,157916,46970,500220
200910,Academic year,National,E92000001,England,Ethnicity Major,Mixed / Multiple ethnic groups,37.2,11.0,5008,1486,13454
200910,Academic year,National,E92000001,England,Ethnicity Major,Asian / Asian British,55.7,16.1,22205,6424,39899
200910,Academic year,National,E92000001,England,Ethnicity Major,Black / African / Caribbean / Black British,44.1,6.8,9680,1496,21952
200910,Academic year,National,E92000001,England,Ethnicity Major,Other Ethnic Group,46.2,13.6,2338,686,5060
200910,Academic year,National,E92000001,England,Ethnicity Major,Unknown,30.0,9.1,4545,1382,15172
200910,Academic year,National,E92000001,England,Care Leaver,Care Leaver,9.0,1.0,330,50,3620
200910,Academic year,National,E92000001,England,Care Leaver,All Other Pupils,34.0,10.0,201360,58400,592140
201011,Academic year,National,E92000001,England,FSM Status,Free School Meals,19.8,2.9,15309,2243,77477
